"","Squad","Comp","Player","Nation","Pos","Mins_Per_90","SCA_SCA","SCA90_SCA","PassLive_SCA","PassDead_SCA","TO_SCA","Sh_SCA","Fld_SCA","Def_SCA","GCA_GCA","GCA90_GCA","PassLive_GCA","PassDead_GCA","TO_GCA","Sh_GCA","Fld_GCA","Def_GCA"
"1","Ajaccio","Ligue 1","Mickaël Alphonse","GLP","DF",57,53,36,55,73,71,64,51,90,36,36,41,89,87,81,85,96
"2","Ajaccio","Ligue 1","Cédric Avinel","GLP","DF",69,23,13,18,73,55,64,51,69,51,40,41,89,87,95,85,96
"3","Ajaccio","Ligue 1","Mickaël Barreto","FRA","MF",54,65,58,64,91,55,44,51,90,51,43,59,89,87,81,85,96
"4","Ajaccio","Ligue 1","Cyrille Bayala","BFA","MF",73,77,56,75,73,89,64,92,100,63,47,59,89,87,81,85,100
"5","Ajaccio","Ligue 1","Youcef Belaïli","ALG","MF,FW",52,80,87,69,93,89,88,96,69,94,97,89,89,99,95,99,96
"6","Ajaccio","Ligue 1","Kouamé Botué","BFA","FW,MF",21,36,80,30,59,55,64,88,69,51,84,41,89,87,95,85,96
"7","Ajaccio","Ligue 1","Florian Chabrolle","FRA","MF",25,16,15,18,59,55,44,51,69,36,36,41,89,87,81,85,96
"8","Ajaccio","Ligue 1","Ivane Chegra","FRA","MF,FW",18,26,58,27,73,55,44,51,69,36,36,41,89,87,81,85,96
"9","Ajaccio","Ligue 1","Yanis Cimignani","FRA","MF,DF",24,36,69,41,59,55,44,51,69,36,36,41,89,87,81,85,96
"10","Ajaccio","Ligue 1","Mathieu Coutadeur","FRA","MF",71,62,36,69,73,71,44,51,69,51,40,59,89,87,81,85,96
"11","Ajaccio","Ligue 1","Ismael Diallo","CIV","DF",77,50,25,47,86,55,64,70,69,36,36,41,89,87,81,85,96
"12","Ajaccio","Ligue 1","Moussa Djitte","SEN","FW",16,20,37,23,59,55,44,51,69,36,36,41,89,87,81,85,96
"13","Ajaccio","Ligue 1","Oumar Gonzalez","CMR","DF",86,26,12,30,59,55,44,51,69,36,36,41,89,87,81,85,96
"14","Ajaccio","Ligue 1","Ben Hamed Touré","CIV","FW",16,16,24,18,59,55,44,51,69,36,36,41,89,87,81,85,96
"15","Ajaccio","Ligue 1","Romain Hamouma","FRA","FW,MF",49,70,75,63,90,79,83,92,69,85,91,85,89,87,95,97,96
