"","Squad","Comp","Player","Nation","Pos","MP_Playing.Time","Min_Playing.Time","Mn_per_MP_Playing.Time","Min_percent_Playing.Time","Mins_Per_90_Playing.Time","Starts_Starts","Mn_per_Start_Starts","Compl_Starts","Subs_Subs","Mn_per_Sub_Subs","unSub_Subs","PPM_Team.Success","onG_Team.Success","onGA_Team.Success","plus_per__minus__Team.Success","plus_per__minus_90_Team.Success","On_minus_Off_Team.Success","onxG_Team.Success..xG.","onxGA_Team.Success..xG","xGplus_per__minus__Team.Success..xG","xGplus_per__minus_90_Team.Success..xG","On_minus_Off_Team.Success..xG"
"1","Ajaccio","Ligue 1","Mickaël Alphonse","GLP","DF",62,54,39,53,54,52,63,67,85,38,70,13,24,79,3,5,42,35,56,13,22,33
"2","Ajaccio","Ligue 1","Cédric Avinel","GLP","DF",55,69,79,68,69,66,92,88,50,59,83,9,35,91,1,6,46,53,75,12,27,48
"3","Ajaccio","Ligue 1","Mickaël Barreto","FRA","MF",41,49,61,49,49,52,55,60,50,75,45,4,18,84,1,2,9,24,52,9,12,13
"4","Ajaccio","Ligue 1","Cyrille Bayala","BFA","MF",85,73,52,72,73,80,25,56,69,72,34,12,24,93,0,4,26,51,78,8,23,31
"5","Ajaccio","Ligue 1","Youcef Belaïli","ALG","MF,FW",35,47,66,46,47,55,36,37,22,48,20,20,38,63,15,20,88,49,45,58,57,93
"6","Ajaccio","Ligue 1","Kouamé Botué","BFA","FW,MF",12,8,9,8,8,11,6,18,56,38,70,3,5,13,38,5,42,8,12,41,12,23
"7","Ajaccio","Ligue 1","Florian Chabrolle","FRA","MF",10,13,31,13,13,15,100,43,41,21,92,3,12,34,19,2,8,4,14,31,6,10
"8","Ajaccio","Ligue 1","Ivane Chegra","FRA","MF,FW",5,5,14,5,5,6,2,18,41,88,34,1,2,13,33,1,7,2,4,49,20,38
"9","Ajaccio","Ligue 1","Yanis Cimignani","FRA","MF,DF",12,10,15,10,11,15,19,28,50,21,59,9,12,5,63,70,99,12,5,66,83,98
"11","Ajaccio","Ligue 1","Mathieu Coutadeur","FRA","MF",62,71,73,71,71,71,85,80,50,17,52,12,43,87,4,14,87,61,75,20,37,76
"12","Ajaccio","Ligue 1","Ismael Diallo","CIV","DF",66,79,85,78,79,80,76,86,32,87,34,15,53,94,2,13,90,72,81,32,47,95
"13","Ajaccio","Ligue 1","Moussa Djitte","SEN","FW",8,3,4,3,3,6,3,18,50,28,34,6,2,8,42,3,24,1,4,43,4,8
"14","Ajaccio","Ligue 1","Oumar Gonzalez","CMR","DF",73,90,98,89,90,90,92,97,12,10,45,8,43,99,0,5,18,69,91,7,28,46
"15","Ajaccio","Ligue 1","Ben Hamed Touré","CIV","FW",3,3,26,3,3,6,29,18,22,87,34,3,2,10,38,1,6,1,6,40,1,2
"16","Ajaccio","Ligue 1","Romain Hamouma","FRA","FW,MF",41,43,47,43,44,52,22,28,50,63,34,9,38,68,11,13,76,48,43,60,59,94
"17","Ajaccio","Ligue 1","Mounaim El Idrissy","FRA","FW",85,90,85,89,90,93,59,80,22,98,34,12,55,96,2,17,98,77,85,34,49,99
