"","Squad","Comp","Player","Nation","Pos","Mins_Per_90","Touches_Touches","Def.Pen_Touches","Def.3rd_Touches","Mid.3rd_Touches","Att.3rd_Touches","Att.Pen_Touches","Live_Touches","Att_Take","Succ_Take","Succ_percent_Take","Tkld_Take","Tkld_percent_Take","Carries_Carries","TotDist_Carries","PrgDist_Carries","PrgC_Carries","Final_Third_Carries","CPA_Carries","Mis_Carries","Dis_Carries","Rec_Receiving","PrgR_Receiving"
"1","Ajaccio","Ligue 1","Mickaël Alphonse","GLP","DF",53,59,71,67,66,57,40,59,55,60,68,57,50,56,63,66,71,72,28,50,67,47,52
"2","Ajaccio","Ligue 1","Cédric Avinel","GLP","DF",67,58,87,85,57,5,14,58,8,7,7,10,10,64,67,65,20,13,28,17,8,55,9
"3","Ajaccio","Ligue 1","Mickaël Barreto","FRA","MF",49,57,43,54,68,61,30,57,81,84,65,81,57,64,71,66,65,77,28,77,78,56,62
"4","Ajaccio","Ligue 1","Cyrille Bayala","BFA","MF",70,60,53,54,62,81,78,60,90,86,29,94,82,66,75,68,83,82,87,92,93,57,84
"5","Ajaccio","Ligue 1","Youcef Belaïli","ALG","MF,FW",47,47,24,35,52,69,81,46,89,89,49,86,40,56,65,60,72,71,91,86,87,49,70
"6","Ajaccio","Ligue 1","Kouamé Botué","BFA","FW,MF",14,10,10,7,11,26,40,10,26,18,10,42,95,11,14,12,23,23,59,38,16,11,37
"7","Ajaccio","Ligue 1","Florian Chabrolle","FRA","MF",19,18,24,15,25,22,6,18,8,7,7,22,100,21,19,19,11,26,28,23,33,18,27
"8","Ajaccio","Ligue 1","Ivane Chegra","FRA","MF,FW",11,8,6,11,10,13,10,8,32,32,43,36,53,9,13,13,29,18,42,26,33,8,22
"9","Ajaccio","Ligue 1","Yanis Cimignani","FRA","MF,DF",17,17,21,17,18,31,14,17,29,26,22,42,92,17,17,17,20,39,28,20,38,15,38
"10","Ajaccio","Ligue 1","Mathieu Coutadeur","FRA","MF",69,76,64,66,90,56,19,76,47,42,25,50,53,86,82,76,58,54,52,56,47,79,43
"11","Ajaccio","Ligue 1","Ismael Diallo","CIV","DF",75,76,82,84,77,56,17,76,72,68,33,73,51,80,82,79,74,80,28,80,57,68,53
"12","Ajaccio","Ligue 1","Moussa Djitte","SEN","FW",10,7,10,6,10,13,14,7,22,7,7,29,74,9,9,5,6,7,28,32,22,8,33
"13","Ajaccio","Ligue 1","Oumar Gonzalez","CMR","DF",86,79,90,90,79,28,61,79,49,46,36,46,34,83,87,87,44,30,42,58,57,73,22
"15","Ajaccio","Ligue 1","Romain Hamouma","FRA","FW,MF",44,39,19,17,41,67,76,39,76,74,40,83,81,47,53,48,69,58,84,82,67,43,84
"16","Ajaccio","Ligue 1","Mounaim El Idrissy","FRA","FW",86,61,54,37,68,83,94,61,65,63,37,68,57,65,65,42,60,62,65,99,93,66,94
"18","Ajaccio","Ligue 1","Youssouf Koné","MLI","DF",39,41,70,63,45,28,10,41,55,54,40,42,16,45,44,44,48,45,42,48,33,37,37
"19","Ajaccio","Ligue 1","Qazim Laçi","ALB","MF",14,18,16,15,24,23,10,18,22,26,65,22,21,20,20,17,6,23,28,9,8,18,19
"20","Ajaccio","Ligue 1","Paolo Lebas","POR","MF",5,3,6,3,6,4,6,3,8,18,100,10,10,4,2,2,6,7,28,9,8,3,5
"22","Ajaccio","Ligue 1","Ruan Levine","BRA","MF,FW",3,4,6,5,5,8,17,4,13,26,100,10,10,5,5,5,6,18,28,13,22,4,19
"23","Ajaccio","Ligue 1","Thomas Mangani","FRA","MF",52,67,70,64,79,56,17,67,29,37,86,22,14,69,64,59,37,60,42,35,27,62,36
"24","Ajaccio","Ligue 1","Vincent Marchetti","FRA","MF",83,79,73,66,88,75,64,79,94,96,74,88,34,87,93,93,91,95,80,89,94,80,64
"25","Ajaccio","Ligue 1","Fernand Mayembo","CGO","DF",32,33,76,65,31,8,24,33,29,37,86,22,14,37,36,37,15,13,28,20,16,29,9
"26","Ajaccio","Ligue 1","Bevic Moussiti-Oko","CGO","FW",31,24,34,17,26,46,72,24,64,68,65,70,74,25,29,24,39,39,72,68,59,27,59
"27","Ajaccio","Ligue 1","Riad Nouri","FRA","MF,FW",62,53,44,43,58,74,61,53,76,68,23,84,85,62,67,56,73,77,72,74,72,56,89
"31","Ajaccio","Ligue 1","Moussa Soumano","FRA","FW",24,11,10,4,16,22,34,11,32,42,88,29,25,13,14,9,26,23,65,48,47,12,39
"32","Ajaccio","Ligue 1","Kevin Spadanuda","SUI","MF,FW",44,33,36,38,34,54,63,33,80,84,67,78,42,39,48,42,53,50,78,74,80,33,64
"34","Ajaccio","Ligue 1","Yoann Touzghar","TUN","FW",22,16,21,11,20,27,34,16,29,26,22,36,74,17,17,9,20,23,42,38,33,17,46
"35","Ajaccio","Ligue 1","Clément Vidal","FRA","DF,MF",67,62,88,83,65,18,42,62,8,18,100,10,10,67,70,75,20,23,28,23,38,58,16
"36","Ajaccio","Ligue 1","Mohamed Youssouf","COM","DF",82,85,82,82,85,79,22,85,68,60,23,75,75,82,86,81,84,82,28,73,67,73,76
"37","Almería","La Liga","Sergio Akieme","ESP","DF",80,75,78,80,74,75,70,75,83,88,71,78,35,71,78,80,90,82,84,74,85,70,76
"38","Almería","La Liga","Srđan Babić","SRB","DF",95,86,95,96,78,22,42,86,32,32,43,42,84,83,83,88,60,52,42,38,27,85,22
"39","Almería","La Liga","Léo Baptistão","BRA","FW,MF",65,55,43,56,60,70,86,55,74,70,32,76,57,55,57,65,77,79,80,93,74,57,76
"40","Almería","La Liga","El Bilal Touré","MLI","FW",48,32,54,28,36,53,81,32,52,46,24,60,78,29,32,32,54,58,80,87,47,33,62
