"","Squad_1","Squad_2","Comp_1","Comp_2","Player","Mins_Per_90","Cmp_Total","Att_Total","Cmp_percent_Total","TotDist_Total","PrgDist_Total","Cmp_Short","Att_Short","Cmp_percent_Short","Cmp_Medium","Att_Medium","Cmp_percent_Medium","Cmp_Long","Att_Long","Cmp_percent_Long","Ast","xA","KP","Final_Third","PPA","CrsPA"
"1","Bologna","Brentford","Serie A","Premier League","Aaron Hickey",6,4,2.5,1,1,-0.5,11.5,11,-1.5,-0.5,-0.5,6,0.5,1,-4.5,10,-3,-9.5,21.5,6.5,3.5
"2","Everton","Burnley","Premier League","Premier League","Aaron Lennon",10,4.75,4.75,-1,4,0,4.5,4.5,5.25,1.75,2.25,3.75,11.5,12,11.5,12.75,2.5,5.25,-1.25,11.25,1.5
"3","Toulouse","Metz","Ligue 1","Ligue 1","Aaron Leya Iseka",-2.5,-3,-1.5,-11,-0.5,-1,-5,-4,-7.5,-3.5,-2.5,-10.5,7,5.5,12,0,10,13,-1,-2,0
"4","Huddersfield","Brighton","Premier League","Premier League","Aaron Mooy",-14,-15,-16.5,5,-16.5,-15.5,-9.5,-10,11,-17.5,-19,8.5,-14.5,-13.5,-4.5,2,3.5,-2,-12,3.5,-3
"5","Bournemouth","Sheffield Utd","Premier League","Premier League","Aaron Ramsdale",1,-5,1,-2,4,1,-14,-12,-2,-17,-16,0,4,1,1,-20,6,0,27,0,0
"6","Sheffield Utd","Arsenal","Premier League","Premier League","Aaron Ramsdale",-2,12.5,-0.5,15.5,-6,-2,29,26,1,28,27.5,0,-7.5,-2.5,2,0,-15,-16,-17.5,8,0
"7","Arsenal","Juventus","Premier League","Serie A","Aaron Ramsey",-26.8333333333333,-27.8333333333333,-29.6666666666667,13.6666666666667,-26.8333333333333,-25.6666666666667,-26.5,-27,11.8333333333333,-28,-29.3333333333333,12.1666666666667,-25.5,-23.3333333333333,-1.33333333333333,-26.3333333333333,-24.3333333333333,-20.6666666666667,-24.1666666666667,-36.3333333333333,-16.3333333333333
"8","Juventus","Nice","Serie A","Ligue 1","Aaron Ramsey",27.3333333333333,31.3333333333333,33.6666666666667,-10.6666666666667,31.3333333333333,27.6666666666667,27,26,14.6666666666667,33,35.3333333333333,-14.6666666666667,29,32.3333333333333,-20.6666666666667,-0.666666666666671,14.3333333333333,21.6666666666667,30.6666666666667,31.3333333333333,14.3333333333333
"9","Crystal Palace","Manchester Utd","Premier League","Premier League","Aaron Wan-Bissaka",14.75,26.5,23.25,44.75,24,12.25,27.5,27,28,23.25,20.25,32.5,14.75,5,39.25,2,13.5,25.5,14.75,11.25,2.5
"10","Espanyol","Celta Vigo","La Liga","La Liga","Aarón Martín",-34,-16,-21,26,-13,-16,-16,-19,31,-12,-14,10,-12,-20,17,38,-27,-39,-23,-31,-21
