"","Player_from","Squad_from","Comp_from","Mins_Per_90_from","Tkl_Tackles_from","TklW_Tackles_from","Def.3rd_Tackles_from","Mid.3rd_Tackles_from","Att.3rd_Tackles_from","Tkl_Challenges_from","Att_Challenges_from","Tkl_percent_Challenges_from","Lost_Challenges_from","Blocks_Blocks_from","Sh_Blocks_from","Pass_Blocks_from","Int_from","Tkl.Int_from","Clr_from","Err_from","Squad_2_change","Comp_2_change","Mins_Per_90_change","Tkl_Tackles_change","TklW_Tackles_change","Def.3rd_Tackles_change","Mid.3rd_Tackles_change","Att.3rd_Tackles_change","Tkl_Challenges_change","Att_Challenges_change","Tkl_percent_Challenges_change","Lost_Challenges_change","Blocks_Blocks_change","Sh_Blocks_change","Pass_Blocks_change","Int_change","Tkl.Int_change","Clr_change","Err_change"
"1","Aaron Hickey","Bologna","Serie A",61.5,62,64,71.5,52.5,59.5,68,58.5,69.5,52,62,68,62,71.5,65.5,64.5,79.5,"Brentford","Premier League",6.5,16,18,17.5,15.5,-31.5,13,13.5,6.5,12,2,12,-2,-6.5,5.5,6.5,9.5
"2","Aaron Lennon","Everton","Premier League",33,49,49,58,43,58,43,55,21,69,52,45,63,53,49,38,70,"Burnley","Premier League",9.25,9,8.75,-5.5,21.75,11.5,3.75,-3.5,25,-12.5,12.25,9.25,8,-5,3.25,7.25,0
"3","Aaron Leya Iseka","Toulouse","Ligue 1",43,19.5,18,15,32,36.5,14.5,17.5,16.5,25,29,46.5,29,17,17,37,70,"Metz","Ligue 1",-3,5.5,10,12,0,8.5,-5.5,1.5,-7.5,4,-4,8.5,-7,-7,2,-7,0
"4","Aaron Mooy","Huddersfield","Premier League",87.5,97,97.5,87.5,97.5,99.5,87.5,90.5,49,91,95,76.5,97.5,74.5,91.5,71.5,70,"Brighton","Premier League",-14.5,-20,-18.5,-32.5,-12.5,-2.5,-40.5,-9.5,-36,2,-3,3.5,-3.5,-0.5,-16.5,-0.5,19
"5","Aaron Ramsdale","Bournemouth","Premier League",99,20,24,38,12,28,33,16,100,4,9,30,10,10,15,64,89,"Sheffield Utd","Premier League",1,-10,-10,-18,0,0,-13,-9,0,0,0,0,0,13,-2,-3,11
"6","Aaron Ramsdale","Sheffield Utd","Premier League",100,10,14,20,12,28,20,7,100,4,9,30,10,23,13,61,100,"Arsenal","Premier League",-2,2,0,3.5,0,0,0,2.5,-16,4.5,0,0,0,-13,-5,0.5,-1
"7","Aaron Ramsey","Arsenal","Premier League",58,74,75.5,68.5,81,61,53,73.5,20.5,83.5,44.5,54,50.5,62.5,68.5,25,79.5,"Juventus","Serie A",-16.5,-18.5,-15,-19,-15,5,-2,-12.5,7.5,-11.5,13.5,5,15.5,-14.5,-17.5,15.5,3.5
"8","Aaron Ramsey","Juventus","Serie A",41.5,55.5,60.5,49.5,66,66,51,61,28,72,58,59,66,48,51,40.5,83,"Nice","Ligue 1",16.5,30.5,20.5,26.5,21,31,26,19,21,10,20,10,19,17,26,15.5,6
"9","Aaron Wan-Bissaka","Crystal Palace","Premier League",62,84,85.5,89.5,75,77.5,87.5,73.5,95.5,40.5,81,87,78.5,80.5,82,89,70,"Manchester Utd","Premier League",15.25,7.25,7.5,1.75,16,6.5,1.75,1.5,-2.5,9,6.25,3.25,3.5,9,8.5,-5,13
"10","Aarón Martín","Espanyol","La Liga",91,91,92,98,71,68,96,93,70,88,80,73,85,96,94,90,70,"Celta Vigo","La Liga",-34,-18,-20,-28,10,0,-34,-20,-40,-6,-23,-4,-25,-39,-28,-16,0
"11","Aarón Martín","Celta Vigo","La Liga",57,73,72,70,81,68,62,73,30,82,57,69,60,57,66,74,70,"Mainz 05","Bundesliga",6,-3.8,-3.59999999999999,4.40000000000001,-17,1.8,7.2,-7.59999999999999,32.4,-18,3.2,-8,3.8,8.40000000000001,1.59999999999999,-9.59999999999999,3.8
