"","Player_from","Squad_from","Comp_from","Mins_Per_90_from","SCA_SCA_from","SCA90_SCA_from","PassLive_SCA_from","PassDead_SCA_from","TO_SCA_from","Sh_SCA_from","Fld_SCA_from","Def_SCA_from","GCA_GCA_from","GCA90_GCA_from","PassLive_GCA_from","PassDead_GCA_from","TO_GCA_from","Sh_GCA_from","Fld_GCA_from","Def_GCA_from","Squad_2_change","Comp_2_change","Mins_Per_90_change","SCA_SCA_change","SCA90_SCA_change","PassLive_SCA_change","PassDead_SCA_change","TO_SCA_change","Sh_SCA_change","Fld_SCA_change","Def_SCA_change","GCA_GCA_change","GCA90_GCA_change","PassLive_GCA_change","PassDead_GCA_change","TO_GCA_change","Sh_GCA_change","Fld_GCA_change","Def_GCA_change"
"1","Aaron Hickey","Bologna","Serie A",65,55.5,34.5,58.5,65,65.5,55.5,69.5,69,63.5,52.5,71.5,88,86,81,84,96,"Brentford","Premier League",6,-0.5,-4.5,-5.5,7,3.5,20.5,8.5,0,-1.5,-5.5,-12.5,0,0,14,0,0
"2","Aaron Lennon","Everton","Premier League",39,46,45,43,58,69,76,78,69,70,80,59,88,86,95,96,96,"Burnley","Premier League",9,7.5,0.75,7,0,1.5,-11,5.25,5,-8,-19.75,3,0,3,-10.5,-9,0
"3","Aaron Leya Iseka","Toulouse","Ligue 1",48,58,55.5,56,58,76.5,74.5,83.5,69,62,60,50,88,91,88,90,96,"Metz","Ligue 1",-2,-2,-3.5,-3,0,7.5,-28.5,5.5,0,-11,-13,-9,0,5,-7,-6,0
"4","Aaron Mooy","Huddersfield","Premier League",89,93.5,76,92,97.5,65.5,80.5,50,82.5,79,58.5,80,97,86,81,84,96,"Brighton","Premier League",-14,-1.5,7,0,-2.5,22.5,3.5,28,-13.5,9,17.5,4,-1,12,0,0,0
"5","Aaron Ramsdale","Bournemouth","Premier League",99,23,11,23,72,53,46,50,69,51,37,59,88,86,81,84,96,"Sheffield Utd","Premier League",1,13,3,13,7,0,0,0,0,-15,-1,-18,0,0,0,0,0
"6","Aaron Ramsdale","Sheffield Utd","Premier League",100,36,14,36,79,53,46,50,69,36,36,41,88,86,81,84,96,"Arsenal","Premier League",-2,-14.5,-3,-16.5,-10.5,0,0,0,0,0,0,0,0,0,0,0,0
"7","Aaron Ramsey","Arsenal","Premier League",62,83,80.5,87.5,58,86,84,67.5,79,95.5,95.5,97.5,88,96,81,91.5,96,"Juventus","Serie A",-25.6666666666667,-20.6666666666667,6.16666666666667,-21.5,10,-13,-18,1.16666666666667,-3.33333333333333,-27.5,-24.5,-26.8333333333333,0,-6.66666666666667,0,0.5,1.33333333333333
"8","Aaron Ramsey","Juventus","Serie A",36.3333333333333,62.3333333333333,86.6666666666667,66,68,73,66,68.6666666666667,75.6666666666667,68,71,70.6666666666667,88,89.3333333333333,81,92,97.3333333333333,"Nice","Ligue 1",25.6666666666667,23.6666666666667,-0.666666666666671,19,27,-20,26,-1.66666666666667,-6.66666666666667,8,-3,0.333333333333329,8,-3.33333333333333,0,4,-1.33333333333333
"9","Aaron Wan-Bissaka","Crystal Palace","Premier League",65.5,57.5,37.5,59.5,72,81.5,55.5,50,79,62,50,62.5,92,91,88,84,96,"Manchester Utd","Premier League",14,17.5,10.5,22,-7,-8,4.75,4.25,0,8.5,4.75,14.5,-4,-2.5,-7,0,0
"10","Aarón Martín","Espanyol","La Liga",92,85,53,87,94,69,46,67,89,70,48,71,96,86,81,84,96,"Celta Vigo","La Liga",-31,-37,-24,-40,-15,-16,19,0,-20,0,13,8,-8,0,0,0,0
