"","Player","Squad","Comp","Season_End_Year","MP_Playing.Time","Min_Playing.Time","Mn_per_MP_Playing.Time","Min_percent_Playing.Time","Mins_Per_90_Playing.Time","Starts_Starts","Mn_per_Start_Starts","Compl_Starts","Subs_Subs","Mn_per_Sub_Subs","unSub_Subs","PPM_Team.Success","onG_Team.Success","onGA_Team.Success","plus_per__minus__Team.Success","plus_per__minus_90_Team.Success","On_minus_Off_Team.Success","onxG_Team.Success..xG.","onxGA_Team.Success..xG","xGplus_per__minus__Team.Success..xG","xGplus_per__minus_90_Team.Success..xG","On_minus_Off_Team.Success..xG"
"1","Aaron Hickey","Bologna","Serie A",2021.5,59.5,63.5,71.5,62.5,63.5,69,43.5,62.5,21.5,44,45.5,48,60.5,68.5,33,41.5,57.5,56.5,64,27.5,39,36.5
"2","Aaron Leya Iseka","Toulouse","Ligue 1",2019.5,61.5,43.5,23.5,47.5,43.5,40,51,46,93.5,39,53.5,16,31.5,63.5,13.5,17.5,32,40.5,51.5,25,27,42.5
"3","Aaron Mooy","Huddersfield","Premier League",2019,76,85,86,83,85,82,92,94,47,73,17,6,52,97,1,11,88,57,91,2,16,87
"4","Aaron Ramsey","Arsenal","Premier League",2019,72,52,28,50,52,51,25,42,93,56,47,85,78,36,92,93,95,57,54,61,59,36
"5","Aaron Ramsey","Juventus","Serie A",2021,37.3333333333333,29,21.6666666666667,28,29,32,9.33333333333333,20.6666666666667,65.6666666666667,58.6666666666667,71.3333333333333,80.3333333333333,51.6666666666667,23.6666666666667,78.6666666666667,69,58.3333333333333,44.6666666666667,24.3333333333333,75.3333333333333,63.6666666666667,51.3333333333333
"6","Aarón Martín","Espanyol","La Liga",2018,86,96,100,95,96,95,99,99,15,91,60,52,72,84,26,46,33,76,96,6,28,7
"7","Aarón Martín","Celta Vigo","La Liga",2021,43,59,88,58,59,60,84,78,28,76,39,67,74,70,67,63,69,57,70,21,32,11
"8","Abdelhamid Sabiri","Huddersfield","Premier League",2019,1,0,4,0,0,6,1,14,15,2,17,1,5,8,49,0,1,1,2,50,1,4
"9","Abdelhamid Sabiri","Paderborn 07","Bundesliga",2020,58,42,23,45,42,36,49,47,95,56,60,10,45,68,16,17,64,38,62,10,9,45
"10","Abdessamad Ezzalzouli","Barcelona","La Liga",2022,18,23,43,23,23,26,53,24,47,65,47,76,26,22,59,59,12,30,13,79,90,56
"11","Abdou Diallo","Dortmund","Bundesliga",2019,72,86,96,91,86,86,88,94,15,5,17,90,97,88,93,84,4,95,81,92,84,27
"12","Abdou Diallo","Paris S-G","Ligue 1",2021,36,46.6666666666667,68,51,46.6666666666667,50,63.6666666666667,65.3333333333333,37,44.3333333333333,65,96.3333333333333,74,26,92.6666666666667,95.6666666666667,47.6666666666667,67.6666666666667,33,90,92.3333333333333,23
