"","Player","Squad","Comp","Season_End_Year","Mins_Per_90","Touches_Touches","Def.Pen_Touches","Def.3rd_Touches","Mid.3rd_Touches","Att.3rd_Touches","Att.Pen_Touches","Live_Touches","Att_Take","Succ_Take","Succ_percent_Take","Tkld_Take","Tkld_percent_Take","Carries_Carries","TotDist_Carries","PrgDist_Carries","PrgC_Carries","Final_Third_Carries","CPA_Carries","Mis_Carries","Dis_Carries","Rec_Receiving","PrgR_Receiving"
"1","Aaron Hickey","Bologna","Serie A",2021.5,61.5,60.5,66.5,67.5,58,65.5,46,60.5,68,66.5,40.5,72.5,64,59,61.5,59.5,71.5,72.5,70.5,69,65.5,56.5,69
"2","Aaron Lennon","Everton","Premier League",2018,32,25,24,30,25,46,46,25,55,39,8,73,93,22,24,29,50,38,80,39,54,24,51
"3","Aaron Leya Iseka","Toulouse","Ligue 1",2019.5,43,27,33.5,17,29,51.5,76.5,26.5,55,49.5,31,63,72,29,27,24.5,43,45,80,75.5,81,31.5,69.5
"4","Aaron Mooy","Huddersfield","Premier League",2018.5,88.5,92.5,63,68.5,93.5,96,67,92.5,71,74.5,58.5,69.5,45.5,90.5,89,81.5,86.5,93.5,66,78.5,96.5,91.5,74.5
"5","Aaron Ramsdale","Sheffield Utd","Premier League",2021,100,73,100,99,5,3,14,73,14,22,100,11,11,70,81,85,6,6,27,12,8,45,5
"6","Aaron Ramsey","Arsenal","Premier League",2018.5,58,70.5,36,51,74,86.5,91,70.5,69.5,74,63,62,40.5,77.5,79,77.5,84.5,89,80.5,83,87.5,81.5,89
"7","Aaron Ramsey","Juventus","Serie A",2020.5,41.5,55.5,42.5,44,58,77.5,84,55.5,55,62,73.5,48.5,29.5,60,54,50.5,66.5,68,77,71.5,61,67,75.5
"8","Aaron Wan-Bissaka","Crystal Palace","Premier League",2018.5,62.5,63,79,74.5,57,64,36.5,63,73.5,81,79.5,61.5,22.5,53,58.5,63.5,77.5,82,61.5,59,66,50.5,59.5
"9","Aarón Martín","Espanyol","La Liga",2018,92,87,78,84,83,87,46,87,86,90,70,79,32,80,81,85,89,91,42,63,82,77,83
"10","Aarón Martín","Celta Vigo","La Liga",2021,57,62,70,71,62,66,47,62,65,72,71,59,32,59,51,52,69,69,58,46,44,60,75
"11","Abdelhamid Sabiri","Huddersfield","Premier League",2018,12,13,16,9,17,26,23,13,23,15,8,38,94,10,8,9,14,21,27,25,15,14,27
"12","Abdelhamid Sabiri","Paderborn 07","Bundesliga",2020,41,41,63,50,50,47,47,41,79,82,61,76,44,45,42,39,47,43,42,70,84,45,37
"13","Abdessamad Ezzalzouli","Barcelona","La Liga",2022,25,24,10,25,18,58,82,24,89,90,51,88,53,30,47,54,81,65,94,63,59,26,71
"14","Abdou Diallo","Mainz 05","Bundesliga",2018,82,82,85,91,80,50,58,82,84,88,65,79,39,78,83,88,67,66,68,42,59,73,44
"15","Abdou Diallo","Dortmund","Bundesliga",2019,81,96,91,94,97,61,47,96,87,93,78,74,24,97,97,97,80,75,52,69,68,97,66
"16","Abdou Diallo","Paris S-G","Ligue 1",2021,45.3333333333333,65.6666666666667,77.6666666666667,74.3333333333333,74,41,31.3333333333333,65.6666666666667,63.6666666666667,72.3333333333333,76,52.3333333333333,26,72.6666666666667,71.3333333333333,77,56.6666666666667,61.3333333333333,50.6666666666667,46,27.6666666666667,73.3333333333333,45
