"","Player","Squad","Comp","Season_End_Year","Mins_Per_90","Tkl_Tackles","TklW_Tackles","Def.3rd_Tackles","Mid.3rd_Tackles","Att.3rd_Tackles","Tkl_Challenges","Att_Challenges","Tkl_percent_Challenges","Lost_Challenges","Blocks_Blocks","Sh_Blocks","Pass_Blocks","Int","Tkl.Int","Clr","Err"
"1","Aaron Hickey","Bologna","Serie A",2021.5,61.5,62,64,71.5,52.5,59.5,68,58.5,69.5,52,62,68,62,71.5,65.5,64.5,79.5
"2","Aaron Lennon","Everton","Premier League",2018,33,49,49,58,43,58,43,55,21,69,52,45,63,53,49,38,70
"3","Aaron Leya Iseka","Toulouse","Ligue 1",2019.5,43,19.5,18,15,32,36.5,14.5,17.5,16.5,25,29,46.5,29,17,17,37,70
"4","Aaron Mooy","Huddersfield","Premier League",2018.5,87.5,97,97.5,87.5,97.5,99.5,87.5,90.5,49,91,95,76.5,97.5,74.5,91.5,71.5,70
"5","Aaron Ramsdale","Bournemouth","Premier League",2020,99,20,24,38,12,28,33,16,100,4,9,30,10,10,15,64,89
"6","Aaron Ramsdale","Sheffield Utd","Premier League",2021,100,10,14,20,12,28,20,7,100,4,9,30,10,23,13,61,100
"7","Aaron Ramsey","Arsenal","Premier League",2018.5,58,74,75.5,68.5,81,61,53,73.5,20.5,83.5,44.5,54,50.5,62.5,68.5,25,79.5
"8","Aaron Ramsey","Juventus","Serie A",2020.5,41.5,55.5,60.5,49.5,66,66,51,61,28,72,58,59,66,48,51,40.5,83
"9","Aaron Wan-Bissaka","Crystal Palace","Premier League",2018.5,62,84,85.5,89.5,75,77.5,87.5,73.5,95.5,40.5,81,87,78.5,80.5,82,89,70
"10","Aarón Martín","Espanyol","La Liga",2018,91,91,92,98,71,68,96,93,70,88,80,73,85,96,94,90,70
"11","Aarón Martín","Celta Vigo","La Liga",2021,57,73,72,70,81,68,62,73,30,82,57,69,60,57,66,74,70
"12","Abdelhamid Sabiri","Huddersfield","Premier League",2018,12,23,28,27,12,68,20,27,13,37,25,30,31,17,19,16,70
"13","Abdelhamid Sabiri","Paderborn 07","Bundesliga",2020,41,54,64,46,68,68,58,65,37,73,41,55,45,46,49,56,89
"14","Abdessamad Ezzalzouli","Barcelona","La Liga",2022,26,49,46,55,43,68,43,30,84,25,22,30,27,49,47,6,70
"15","Abdou Diallo","Mainz 05","Bundesliga",2018,82,97,99,98,93,82,98,88,94,58,92,92,88,96,98,89,70
"16","Abdou Diallo","Dortmund","Bundesliga",2019,81,76,72,79,74,68,65,44,93,29,83,93,66,79,76,93,89
"17","Abdou Diallo","Paris S-G","Ligue 1",2021,45.3333333333333,52.6666666666667,54.3333333333333,56,56.3333333333333,57,55,42.3333333333333,79.6666666666667,35.6666666666667,43.3333333333333,70.3333333333333,35.6666666666667,59.6666666666667,55,67.3333333333333,76.3333333333333
"18","Abdoulaye Doucouré","Watford","Premier League",2019,97.6666666666667,96.6666666666667,93.3333333333333,90,97.3333333333333,94,84.3333333333333,94,33.6666666666667,96.6666666666667,93.3333333333333,84,94.3333333333333,89.3333333333333,94.6666666666667,80,80
"19","Abdoulaye Touré","Nantes","Ligue 1",2019.5,79.5,80,78.75,68.5,91,71,76.5,82,42,84.75,80.5,78.75,80.5,87.25,83.5,65.5,84.25
"20","Abdul Majeed Waris","Nantes","Ligue 1",2019,77,57,57,46,74,68,51,67,24,79,41,30,53,43,50,33,70
"21","Aboubakar Kamara","Fulham","Premier League",2020,22.5,22,24,20,31.5,43,21,24.5,31,31,32,30,41,17,18.5,18,70
"22","Achraf Hakimi","Real Madrid","La Liga",2018,32,56,62,55,48,87,65,62,54,64,41,45,49,51,52,57,89
"23","Achraf Hakimi","Dortmund","Bundesliga",2019.5,76,83,83,92,67,69.5,86,86,55,84.5,80.5,62,88.5,82.5,83.5,72.5,96
"24","Achraf Hakimi","Inter","Serie A",2021,88,90,89,84,87,98,89,87,60,85,87,45,95,73,83,62,89
"25","Adam Lallana","Liverpool","Premier League",2019,19,38.6666666666667,35.3333333333333,42.6666666666667,42,54.6666666666667,39,42.3333333333333,31.6666666666667,50.6666666666667,33.6666666666667,35,41.6666666666667,29.6666666666667,33.6666666666667,18.3333333333333,70
"26","Adam Masina","Bologna","Serie A",2018,92,98,99,99,94,91,98,99,53,98,97,80,99,96,98,97,70
"27","Adam Masina","Watford","Premier League",2020.33333333333,49,68.6666666666667,66.3333333333333,72.6666666666667,69,60.3333333333333,69.6666666666667,69.3333333333333,54.6666666666667,70.3333333333333,70,78.6666666666667,68,71,69,80.6666666666667,70
"28","Adam Ounas","Napoli","Serie A",2019.66666666667,16,22.6666666666667,19.3333333333333,10,30,61.3333333333333,26.6666666666667,27.3333333333333,30.6666666666667,34,24,30,30,18.6666666666667,19.6666666666667,14,76.3333333333333
"29","Adam Ounas","Nice","Ligue 1",2020,44,34,32,27,48,58,43,41,45,45,41,45,49,53,41,36,89
"30","Adam Ounas","Cagliari","Serie A",2021,16,17,20,33,12,28,9,36,9,55,29,30,36,28,19,6,70
"31","Adam Ounas","Crotone","Serie A",2021,46,32,28,38,38,45,9,27,9,41,49,45,60,28,29,23,70
"32","Adama Diakhaby","Monaco","Ligue 1",2018,35,58,62,46,71,82,47,46,43,52,52,30,66,57,56,27,70
"33","Adama Soumaoro","Lille","Ligue 1",2018.5,54,37.5,42,56.5,26,28,32.5,20.5,90,16.5,71.5,94.5,34,67,51,87,89
"34","Adama Soumaoro","Genoa","Serie A",2020,28,17,20,33,12,28,20,16,37,20,49,90,10,53,32,71,70
"35","Adama Traoré","Monaco","Ligue 1",2018.5,12.5,19.5,21,15,25,51.5,20,19,24,25,23.5,30,29,28,20.5,12,70
"36","Adama Traoré","Metz","Ligue 1",2020,40,17,14,20,26,28,33,38,24,48,35,55,36,28,19,27,70
"37","Adama Traoré","Wolves","Premier League",2021,61.2,51.6,51.6,52.6,46.4,71.8,46.8,41,56.8,41.2,49.8,45.6,58.8,38.2,45,38.6,79
"38","Ademola Lookman","Everton","Premier League",2018.5,18.5,27.5,26.5,29.5,31.5,48,23.5,18.5,49.5,20,31,30,39,30,26,18,70
"39","Ademola Lookman","RB Leipzig","Bundesliga",2020,16,25,28,33,20,58,20,7,100,4,22,30,27,17,21,6,89
"40","Ademola Lookman","Fulham","Premier League",2021,90,75,52,76,61,94,70,85,29,91,87,45,95,70,71,38,70
"41","Ademola Lookman","Leicester City","Premier League",2022,54,71,59,58,74,96,62,67,40,73,66,45,79,51,62,23,70
"42","Adil Aouchiche","Paris S-G","Ligue 1",2020,4,17,20,20,26,28,27,19,68,20,22,30,27,10,13,6,70
"43","Adil Aouchiche","Saint-Étienne","Ligue 1",2021.5,52,59.5,54,53,63,82,56.5,80.5,18.5,91,60.5,45,73,58,58.5,26.5,70
"44","Adil Rami","Marseille","Ligue 1",2018.5,73.5,61,66,73.5,52.5,43,71.5,60,81,52,66,94,25.5,80.5,70,90.5,98
"45","Admir Mehmedi","Leverkusen","Bundesliga",2018,30,54,68,46,68,68,38,41,31,48,52,30,66,57,54,27,70
"46","Adnan Januzaj","Real Sociedad","La Liga",2020,50,38.8,45.4,30.8,43.2,75,40,45.4,29.4,54.6,43.4,44.6,51.2,43.8,39.2,29.4,70
"47","Adolfo Gaich","Benevento","Serie A",2021,32,32,28,20,53,45,20,41,10,58,25,30,31,23,27,23,70
"48","Adri Embarba","Rayo Vallecano","La Liga",2019,78,90,82,79,92,97,88,94,41,95,93,55,98,82,87,61,70
"49","Adri Embarba","Espanyol","La Liga",2021.66666666667,41,56.6666666666667,56.6666666666667,55,60,67,63,58.6666666666667,68.3333333333333,57.3333333333333,62.6666666666667,54,67.3333333333333,47,51,39.3333333333333,70
"50","Adrien Hunou","Rennes","Ligue 1",2019.5,43.25,45.25,48.25,40.75,48.75,75.5,39.25,50,20.75,60,55,37.5,67.75,34.5,39.75,28.75,74.75
"51","Adrien Rabiot","Paris S-G","Ligue 1",2018.5,61,84,82,77.5,87.5,89,66.5,57.5,72,52,62.5,70.5,63,68.5,77,59.5,79.5
"52","Adrien Silva","Leicester City","Premier League",2018.5,19,35.5,38.5,31.5,47,45,28,39.5,13.5,50,31.5,42.5,36.5,38,34.5,9,70
"53","Adrien Silva","Monaco","Ligue 1",2019.5,46.5,82.5,82,73,90.5,79,78.5,86,43,89,61.5,66,66,59,73,55.5,83
"54","Adrien Tameze","Nice","Ligue 1",2019,59.6666666666667,71.3333333333333,69.6666666666667,71,72.6666666666667,75,76.3333333333333,77.3333333333333,49.6666666666667,78.6666666666667,71.3333333333333,72.6666666666667,73.3333333333333,77.3333333333333,73.6666666666667,52.6666666666667,89
"55","Adrien Tameze","Atalanta","Serie A",2020,12,20,24,20,20,58,20,12,68,13,22,45,22,28,21,23,89
"56","Adrien Thomasson","Nantes","Ligue 1",2018,86,97,99,98,92,91,88,97,30,98,100,69,100,67,89,58,70
"57","Adrien Thomasson","Strasbourg","Ligue 1",2021,72.2,77.8,71.4,63.8,79.4,95.2,76.2,88.6,28.8,92.8,83,58,90,59.8,70.4,33.6,77.6
"58","Adrián","West Ham","Premier League",2018,62,14,14,27,12,28,20,19,24,25,14,30,17,10,10,51,89
"59","Adrián Diéguez","Alavés","La Liga",2018,20,34,32,42,43,28,47,41,58,41,29,30,36,53,41,63,89
"60","Adrián López","La Coruña","La Liga",2018,80,60,59,61,58,82,51,62,26,73,72,69,79,51,55,81,70
"61","Adrián Marín","Villarreal","La Liga",2018,13,25,28,33,32,28,27,30,24,37,18,30,22,28,24,36,70
"62","Adrián Marín","Alavés","La Liga",2020,18.6666666666667,36,39.3333333333333,43.6666666666667,37,38,39,27.6666666666667,61,21.6666666666667,26.6666666666667,43,29,41,36.3333333333333,44.6666666666667,70
"63","Afriyie Acquah","Torino","Serie A",2018,38,30,36,27,48,28,20,27,13,37,38,45,45,63,45,41,96
"64","Agustín Rogel","Toulouse","Ligue 1",2020,35,45,42,64,32,28,51,41,72,37,52,86,27,53,47,73,96
"65","Ainsley Maitland-Niles","Arsenal","Premier League",2020,33,55.8,57.4,65,48.4,51.8,62.8,55.8,70.2,52.6,49,52.4,55.8,59.2,56.2,51,84.2
"66","Ainsley Maitland-Niles","West Brom","Premier League",2021,47,57,49,49,58,91,58,67,32,75,49,45,60,65,59,63,70
