"","Squad_1","Squad_2","Comp_1","Comp_2","Player","Mins_Per_90","SCA_SCA","SCA90_SCA","PassLive_SCA","PassDead_SCA","TO_SCA","Sh_SCA","Fld_SCA","Def_SCA","GCA_GCA","GCA90_GCA","PassLive_GCA","PassDead_GCA","TO_GCA","Sh_GCA","Fld_GCA","Def_GCA"
"1","Bologna","Brentford","Serie A","Premier League","Aaron Hickey",6,-0.5,-4.5,-5.5,7,3.5,20.5,8.5,0,-1.5,-5.5,-12.5,0,0,14,0,0
"2","Everton","Burnley","Premier League","Premier League","Aaron Lennon",9,7.5,0.75,7,0,1.5,-11,5.25,5,-8,-19.75,3,0,3,-10.5,-9,0
"3","Toulouse","Metz","Ligue 1","Ligue 1","Aaron Leya Iseka",-2,-2,-3.5,-3,0,7.5,-28.5,5.5,0,-11,-13,-9,0,5,-7,-6,0
"4","Huddersfield","Brighton","Premier League","Premier League","Aaron Mooy",-14,-1.5,7,0,-2.5,22.5,3.5,28,-13.5,9,17.5,4,-1,12,0,0,0
"5","Bournemouth","Sheffield Utd","Premier League","Premier League","Aaron Ramsdale",1,13,3,13,7,0,0,0,0,-15,-1,-18,0,0,0,0,0
"6","Sheffield Utd","Arsenal","Premier League","Premier League","Aaron Ramsdale",-2,-14.5,-3,-16.5,-10.5,0,0,0,0,0,0,0,0,0,0,0,0
"7","Arsenal","Juventus","Premier League","Serie A","Aaron Ramsey",-25.6666666666667,-20.6666666666667,6.16666666666667,-21.5,10,-13,-18,1.16666666666667,-3.33333333333333,-27.5,-24.5,-26.8333333333333,0,-6.66666666666667,0,0.5,1.33333333333333
"8","Juventus","Nice","Serie A","Ligue 1","Aaron Ramsey",25.6666666666667,23.6666666666667,-0.666666666666671,19,27,-20,26,-1.66666666666667,-6.66666666666667,8,-3,0.333333333333329,8,-3.33333333333333,0,4,-1.33333333333333
"9","Crystal Palace","Manchester Utd","Premier League","Premier League","Aaron Wan-Bissaka",14,17.5,10.5,22,-7,-8,4.75,4.25,0,8.5,4.75,14.5,-4,-2.5,-7,0,0
"10","Espanyol","Celta Vigo","La Liga","La Liga","Aarón Martín",-31,-37,-24,-40,-15,-16,19,0,-20,0,13,8,-8,0,0,0,0
"11","Celta Vigo","Mainz 05","La Liga","Bundesliga","Aarón Martín",5.2,28,39.4,23.6,15.4,18,-1.6,-10.2,8,-4,-6.8,-12.6,5.59999999999999,2,0,2.40000000000001,0
"12","Huddersfield","Paderborn 07","Premier League","Bundesliga","Abdelhamid Sabiri",33,48,33,40.5,21,35,38,33.5,0,26.5,11,21,0,10,0,0,0
"13","Paderborn 07","Sampdoria","Bundesliga","Serie A","Abdelhamid Sabiri",-2.5,-1.5,1,-3,6,-2,-16.5,-7,13.5,-11.5,-8.5,-15,0,-5,0,6,2
"14","Barcelona","Osasuna","La Liga","La Liga","Abdessamad Ezzalzouli",25,33,14,28,30,6,24,18,20,14,-7,25,0,0,-14,0,0
"15","Mainz 05","Dortmund","Bundesliga","Bundesliga","Abdou Diallo",-1,-3,-2,-2,-14,-25,19,17,-27,-8,-5,-20,0,0,14,0,0
"16","Dortmund","Paris S-G","Bundesliga","Ligue 1","Abdou Diallo",-31.3333333333333,-21,-4.33333333333333,-22,4.66666666666666,0,-21.6666666666667,-17,6.66666666666667,-7.33333333333334,5,4,0,0,-14,0,0
