"","Squad_1","Squad_2","Comp_1","Comp_2","Player","Mins_Per_90","GA_Goals","PKA_Goals","FK_Goals","CK_Goals","OG_Goals","PSxG_Expected","PSxG_per_SoT_Expected","PSxG._per__minus__Expected","X_per_90_Expected","Cmp_Launched","Att_Launched","Cmp_percent_Launched","Att_Passes","Thr_Passes","Launch_percent_Passes","AvgLen_Passes","Att_Goal","Launch_percent_Goal","AvgLen_Goal","Opp_Crosses","Stp_Crosses","Stp_percent_Crosses","X.OPA_Sweeper","X.OPA_per_90_Sweeper","AvgDist_Sweeper"
"1","Bournemouth","Sheffield Utd","Premier League","Premier League","Aaron Ramsdale",6,1,-16,-36,22,44,-2,-33,-30,-18,12,7,7,2,-22,21,18,-2,27,22,-1,17,33,12,13,13
"2","Sheffield Utd","Arsenal","Premier League","Premier League","Aaron Ramsdale",-9,-22.5,8,0,-20,-18,-21.5,9,38.5,21,-30,-19,-14.5,9.5,16,-49.5,-51.5,-30,-32,-25,-25.5,-10,4.5,11.5,29,43.5
"3","Chievo","Genoa","Serie A","Serie A","Adrian Šemper",-21,-23,0,0,-17,0,-27,18,-4,-15,-27,-24,-40,-21,-26,5,-6,-27,-5,-8,-33,-27,11,-18,-13,11
"4","West Ham","Liverpool","Premier League","Premier League","Adrián",-21.5,-24,-19,-12,-40.5,-26,-26.5,10.5,-30.5,-43.5,-45.5,-49.5,16.5,-17,-6,-61,-62,-32,-82,-84,-30,-32,-8,-34.5,1.5,1.5
"5","Levante","Osasuna","La Liga","La Liga","Aitor Fernández",-8.75,-25.25,-41,-12,-61,0.5,-24.5,-15,1.75,5.5,23,14.75,34.25,3.5,-15.25,19.5,22,-7.5,35,43.25,-7.5,9.5,22.25,8.75,12,5.5
"6","Toulouse","Fiorentina","Ligue 1","Serie A","Alban Lafont",-22,-18,-4,-11,-5,6,-29,-61,-51,-26,-23,-19,-31,-17,0,-25,-18,-15,-34,-35,-6,-18,-17,-24,-49,-34
"7","Fiorentina","Nantes","Serie A","Ligue 1","Alban Lafont",10.25,8,-0.5,-9.75,-2.5,-13,20.25,26.75,48.5,28.5,6.5,9.5,-13,7.5,-7.25,10.25,7.75,-5,30.75,31.25,-8,14.75,29,11.25,19.5,1
"8","Cagliari","Monza","Serie A","Serie A","Alessio Cragno",-64.4,-64.2,-56,-25.8,-47,-23.2,-72.6,48,-19,-58.2,-76.2,-76.8,27.2,-59.4,-61.8,-65.4,-60.4,-78.8,-58.8,-40.8,-78.6,-66,-41.6,-41,60.2,64
"9","SPAL","Napoli","Serie A","Serie A","Alex Meret",9.6,4.6,-15.4,4.8,-7.8,-27.6,-1.2,-2.2,-43.4,-38.4,-20.4,-19.8,-0.200000000000003,8.4,18.8,-74.6,-71.6,-4,-65.2,-55.8,0.200000000000003,6.8,14,43.8,29.8,40.4
"10","Schalke 04","Bayern Munich","Bundesliga","Bundesliga","Alexander Nübel",-25.6666666666667,-32,-33.3333333333333,-8,-2.33333333333334,-12.6666666666667,-36.6666666666667,9.33333333333334,-11.6666666666667,-65.6666666666667,-42.6666666666667,-43.3333333333333,-21.6666666666667,-31,-34.6666666666667,-55.3333333333333,-56.6666666666667,-34,-65,-63.3333333333333,-31.6666666666667,-27,41.6666666666667,-34,-47.3333333333333,-59.3333333333333
"11","Bayern Munich","Monaco","Bundesliga","Ligue 1","Alexander Nübel",85,70.5,65.5,12,36.5,44,76,-37,6,51,75.5,72.5,35,69,89,33,33,75.5,47,45,68.5,67,-13.5,76,47.5,53
"12","Freiburg","Hertha BSC","Bundesliga","Bundesliga","Alexander Schwolow",-9.16666666666667,-2.83333333333333,7,16,-21.5,-15.3333333333333,-2.33333333333333,31.3333333333333,2.83333333333333,-3.83333333333334,-22.6666666666667,-25.8333333333333,8.66666666666666,-19.8333333333333,-0.833333333333329,-27.3333333333333,-30,-21.6666666666667,-30.5,-36.8333333333333,-14.1666666666667,-8.5,-4.33333333333334,6,19.3333333333333,10.6666666666667
"13","Hertha BSC","Schalke 04","Bundesliga","Bundesliga","Alexander Schwolow",-3.5,14.5,-8,0,17.5,0,8,0,-29.5,-28.5,16,15.5,1,1.5,-18.5,40,37,-9,22.5,28.5,-9.5,-16.5,-17,-3,4,3
"14","Strasbourg","Metz","Ligue 1","Ligue 1","Alexandre Oukidja",17.3333333333333,9.66666666666667,-1.33333333333333,8,28,21.3333333333333,7.66666666666667,-51.6666666666667,6.33333333333334,1.33333333333334,8.66666666666667,14,-22.6666666666667,15,30.6666666666667,-17,-8.33333333333333,22.3333333333333,-15,-11.3333333333333,26.6666666666667,37.6666666666667,25,38.3333333333333,40.6666666666667,24
"15","SPAL","Dijon","Serie A","Ligue 1","Alfred Gomis",-15,-26.5,-10,4.5,-40.5,7,-25.5,-22,8.5,16.5,-15.5,-19.5,6.5,-13.5,-15,-14,-8,-15.5,6,6.5,-15,11.5,48.5,-9,23.5,-9.5
"16","Dijon","Rennes","Ligue 1","Ligue 1","Alfred Gomis",17,11.5,18,-16.5,2,0,9.5,20.5,-19,-20.5,6,4.5,17.5,14.5,16,-27,-37.5,4.5,-6,-7.5,9,-6.5,-33,37,20.5,57.5
"17","Roma","Liverpool","Serie A","Premier League","Alisson",-8.8,1.8,-23.4,4.8,4.6,18,-5.8,33.6,-19.6,-14.8,-29.8,-19.4,-25.6,-4,-7.40000000000001,-18.4,-23,-17.8,-11.2,-17.8,-15.6,2.2,21.2,-1.8,-2.59999999999999,-2.2
"18","Paris S-G","Real Madrid","Ligue 1","La Liga","Alphonse Areola",-25,-11,9.33333333333334,-11,-8,-17.3333333333333,-14,-40.6666666666667,-29.3333333333333,-33,-6.33333333333333,-4.66666666666667,-10.6666666666667,-15,-23,4.66666666666667,6.66666666666667,-20.3333333333333,27.3333333333333,28.6666666666667,-18.6666666666667,-21.3333333333333,-9,-28.3333333333333,-8,-17.3333333333333
"19","Real Madrid","Fulham","La Liga","Premier League","Alphonse Areola",60,61,31,0,11,26,69,53,47,50,47,50,-33,42,57,29,13,54,11,-5,59,59,24,47,-14,-17
"20","Fulham","West Ham","Premier League","Premier League","Alphonse Areola",-70.5,-67,-48,0,-19.5,-26,-72.5,33.5,-26,3,-49.5,-49.5,-9,-55,-74.5,36,45.5,-58.5,3,5,-69.5,-62,3,-65.5,-34.5,-29.5
"21","Augsburg","Union Berlin","Bundesliga","Bundesliga","Andreas Luthe",31.3333333333333,38.5,38.1666666666667,-8,48.6666666666667,17.6666666666667,32.1666666666667,-21.8333333333333,-40.6666666666667,-16.6666666666667,41.1666666666667,43,3.5,41.8333333333333,29.3333333333333,6.33333333333334,2.5,34.1666666666667,23,14.5,31.1666666666667,39.5,12.3333333333333,30.1666666666667,0.166666666666664,4.83333333333333
"22","Leganés","Real Madrid","La Liga","La Liga","Andriy Lunin",-2,-3.5,-9.5,0,-8.5,13,-6.5,5.5,-20,-28.5,-17.5,-19,11,2,2.5,-72,-75,-2,-60.5,-63,1,5.5,30.5,5.5,26,-17
"23","Villarreal","Huesca","La Liga","La Liga","Andrés Fernández",21.6666666666667,17.3333333333333,17.3333333333333,24,14.6666666666667,17.3333333333333,16,12.6666666666667,-27,-9.33333333333334,23,25.3333333333333,-14,26.6666666666667,26.3333333333333,7,10.3333333333333,18.6666666666667,-11.6666666666667,-8,22,10.3333333333333,-15.3333333333333,17,-27.3333333333333,-12.3333333333333
"24","Southampton","Norwich City","Premier League","Premier League","Angus Gunn",-3,0,17,-12,5.5,0,2.5,15,11,4.5,-3,-9.5,29,2,12,-33,-41.5,0.5,-63,-66,3,-5,-15,4,18,16.5
"25","Bologna","Roma","Serie A","Serie A","Antonio Mirante",-38,-50.3333333333333,-16.3333333333333,-16,-39.6666666666667,-44,-42,-6.66666666666666,28.6666666666667,19,-59,-57.6666666666667,-8,-49.6666666666667,-35.3333333333333,-35.3333333333333,-36,-59.3333333333333,-39.6666666666667,-34.6666666666667,-59.6666666666667,-46,-14.3333333333333,-38,1.33333333333333,13
"26","Bournemouth","Everton","Premier League","Premier League","Asmir Begović",-61.5,-73.5,-24.5,-16.5,-43.5,-19,-68.5,-75.5,39.5,25.5,-58,-58,-25,-52.5,-74.5,8,9.5,-62.5,-10,-11,-62,-62,-13,-41,-5,-6.5
"27","Atlético Madrid","Huesca","La Liga","La Liga","Axel Werner",21,39,19,0,0,26,34,73,-56,-89,31,30,12,28,24,-7,-9,31,-11,7,21,-11,-67,0,-49,-30
"28","Huesca","Elche","La Liga","La Liga","Axel Werner",-14,-20,-19,0,28,-26,-22,0,19,-3,-29,-26,-12,-10,-7,-57,-38,-20,-82,-71,-15,11,33,0,12,37
"29","Dijon","Toulouse","Ligue 1","Ligue 1","Baptiste Reynet",-37,-14.5,-22,-9,-19,-18,-23.5,0,5,-13.5,-13,-11.5,-22,-32,-34,13,10,-12.5,14.5,11,-24.5,-40.5,-59,-25.5,-34.5,-10
"30","Toulouse","Nîmes","Ligue 1","Ligue 1","Baptiste Reynet",37,14.5,15,0,24,-26,22.5,17,-21,-3.5,9,12.5,-19,32,15,-13,-11,9.5,-0.5,-3,22.5,12.5,0,15.5,2.5,4
"31","Empoli","Fiorentina","Serie A","Serie A","Bartłomiej Drągowski",-1.2,-0.799999999999997,-14.2,16.2,-6,5.2,-4,38.4,-24.4,-26.4,1.8,-2.2,33.8,-2,-8.4,12.2,11.2,-10.2,3.2,-7.4,-6.6,-12,-14,-16.4,-38.2,-16
"32","Fiorentina","Spezia","Serie A","Serie A","Bartłomiej Drągowski",29.2,42.8,24.2,7.8,35,38.8,36,-24.4,-46.6,-18.6,27.2,35.2,-26.8,46,35.4,-8.2,-9.2,20.2,5.8,11.4,35.6,19,-7,31.4,7.2,8
"33","West Brom","Watford","Premier League","Premier League","Ben Foster",-6.66666666666667,1.66666666666667,37.6666666666667,-10.3333333333333,-11.3333333333333,0,3.66666666666667,-0.333333333333329,39.6666666666667,18,-5.66666666666667,-3,-23,4.33333333333333,9.66666666666666,-1,-3.66666666666667,-12.6666666666667,-5.33333333333333,-4.33333333333333,-7.33333333333333,-9.33333333333333,-17.6666666666667,20,44.3333333333333,42.3333333333333
"34","Leicester City","Huddersfield","Premier League","Premier League","Ben Hamer",9,17,26,33,17,26,17,-2,-14,-4,17,18,-7,12,-3,28,24,14,6,0,8,29,74,0,-43,-21
"35","Montpellier","Monaco","Ligue 1","Ligue 1","Benjamin Lecomte",-16,4.83333333333334,8.33333333333333,-4,-11.6666666666667,13.3333333333333,-5,-2.33333333333334,-55.8333333333333,-34,-17.5,-16.6666666666667,-15.8333333333333,-5.66666666666667,-10.5,-34.6666666666667,-34.5,-11.6666666666667,-17.1666666666667,-17,-11.3333333333333,-18.8333333333333,-29.8333333333333,25.1666666666667,46.1666666666667,53.1666666666667
"36","Monaco","Espanyol","Ligue 1","La Liga","Benjamin Lecomte",-25,-27.5,-55,-12,-6,0,-29,-18,-11.5,-23,-17.5,-20,29.5,-34,-37.5,50,51.5,-23,18.5,20,-23,-27.5,-18.5,-46.5,-21.5,-16.5
"37","Bordeaux","Auxerre","Ligue 1","Ligue 1","Benoît Costil",-28.8,-8,-11.6,-23.4,-21.6,-20.8,-13,38,-27.6,-25.6,-19.8,-24,14.4,-23,-18.6,-0.200000000000003,2,-34.2,11.2,12,-26.4,-34.6,-28,-31.2,-25.8,-19.2
"38","Leverkusen","Arsenal","Bundesliga","Premier League","Bernd Leno",-14.25,-11.25,-23,-27,-3.75,18,-4,-7.25,59,35,-37,-32.5,-26,-26,1,-29.5,-28.5,-16,-2,-7.75,0.25,-31.5,-40,-14,-8.75,-1.75
"39","Arsenal","Fulham","Premier League","Premier League","Bernd Leno",26.25,26.25,30,18,35.75,20,34,-1.75,29,20,17,17.5,5,31,19,-3.5,-0.5,13,-23,-21.25,12.75,35.5,37,24,20.75,9.75
"40","Strasbourg","Montpellier","Ligue 1","Ligue 1","Bingourou Kamara",-15.5,-15.5,-7.5,0,-12,-13,-12,0,13.5,-5.5,-28,-24,-40.5,-17,-19,-5.5,-8,-17.5,-48.5,-50,-18.5,-15,26.5,-13,-2.5,-5
"41","Hellas Verona","Cagliari","Serie A","Serie A","Boris Radunović",0,-6,-15,0,-17,0,1,-18,48,86,8,9,-5,6,0,21,19,9,-12,-28,9,11,13,0,0,16
"42","Caen","Lens","Ligue 1","Ligue 1","Brice Samba",31,-1,3,-18,34,7,0,-52,1.5,-13.5,11.5,13,-27.5,40.5,18.5,-41,-41.5,-4,-63.5,-63,8,30.5,9,44,12.5,28
"43","Hamburger SV","Nürnberg","Bundesliga","Bundesliga","Christian Mathenia",-3,4,-11,24,14,12,-9,-62,-50,-39,10,8,14,8,5,-7,-7,5,-4,-7,17,-27,-56,-14,-20,-52
"44","Benevento","Sampdoria","Serie A","Serie A","Christian Puggioni",-7,-15,-16,0,-22,0,-10,-30,54,53,-9,-8,-10,-7,-11,15,11,-9,-23,-9,-6,-19,-10,9,30,29
"45","Nantes","Lyon","Ligue 1","Ligue 1","Ciprian Tătărușanu",-59,-51.5,-26.5,0,-64.5,-13,-51.5,-38,11.5,-1,-67,-71,31.5,-46.5,-52,-42.5,-43,-77.5,-62,-57.5,-76,-51.5,27,-39,46.5,25
"46","Lyon","Milan","Ligue 1","Serie A","Ciprian Tătărușanu",12.3333333333333,20.6666666666667,29,11,31.3333333333333,17.3333333333333,19,36.3333333333333,-17.6666666666667,-24.6666666666667,14.6666666666667,19,-32.6666666666667,12.3333333333333,4.66666666666667,17.3333333333333,16.3333333333333,17.3333333333333,11,8.66666666666667,24.3333333333333,1.66666666666666,-48.3333333333333,-8.33333333333333,-74.3333333333333,-37.6666666666667
"47","Manchester City","Betis","Premier League","La Liga","Claudio Bravo",25.3333333333333,23.6666666666667,31,0,11.3333333333333,21.3333333333333,27.8333333333333,-30.3333333333333,27.1666666666667,26.3333333333333,38.1666666666667,41.5,-31,23.6666666666667,18.8333333333333,64.1666666666667,65.6666666666667,27.8333333333333,22.5,31.1666666666667,30.3333333333333,19.6666666666667,-25.5,22.1666666666667,-8.83333333333333,-15
"48","Inter","Udinese","Serie A","Serie A","Daniele Padelli",0,9,-19,0,-28,0,9,-3,-11,-23,14,12,10,4,3,30,-1,-2,34,32,0,-6,-24,0,0,13
"49","Brighton","West Brom","Premier League","Premier League","David Button",-17,-12,-34,0,17,0,-21,0,-17,-46,-15,-16,-1,-15,-17,-9,-12,-16,3,-1,-12,-22,-56,-13,-13,-39
"50","Arsenal","Napoli","Premier League","Serie A","David Ospina",25.5,26.75,29.25,12,26.5,6.5,30.75,24,3.5,17,18.25,14.75,36.25,28,19.5,-2,-4.75,19.25,-57.75,-48,16.25,19.5,-10.25,19,-39,18.5
"51","Sevilla","Getafe","La Liga","La Liga","David Soria",42.6,25.6,20,4.8,27.2,10.8,29.6,-16.8,35,20,51.4,56,-24,33.4,-3.6,64.8,63.6,39.6,33.8,28.2,31.4,20.6,-16.4,42,25.2,34.8
"52","Sheffield Utd","Manchester Utd","Premier League","Premier League","Dean Henderson",-45,-26,-19,0,21,0,-38,-61,-51,-36,-65,-62,-16,-33,-15,-72,-73,-39,-84,-87,-49,-27,24,-7,51,57
"53","Manchester Utd","Nott'ham Forest","Premier League","Premier League","Dean Henderson",8,23,34,24,9,0,19,40,-31,-23,31,29,21,17,16,44,45,12,37,39,13,27,18,13,0,-17
"54","Espanyol","Rayo Vallecano","La Liga","La Liga","Diego López",-65.5,-58.5,-48.5,-9,-13.5,-38,-72,-17.75,-43.75,-69.5,-67.75,-69.75,-33.5,-62.25,-58.5,-35.5,-40.25,-73,-50.25,-36,-73.5,-64.5,-40.5,-42.75,49,42.75
"55","Brest","Auxerre","Ligue 1","Ligue 1","Donovan Léon",7,-5,0,0,0,0,-11,-69,-20,-45,11,14,-33,6,0,29,24,14,38,44,4,-17,-70,13,50,34
"56","Reims","Rennes","Ligue 1","Ligue 1","Edouard Mendy",-64.5,-50.5,-45.5,-12,-14.5,-25,-58,18,-22.5,-27,-49.5,-56.5,34,-46,-43,-19,-34.5,-60,-45,-48.5,-67,-37.5,3.5,-36,-7,-14
"57","Rennes","Chelsea","Ligue 1","Premier League","Edouard Mendy",28.1666666666667,24.5,10.5,-4,13.8333333333333,4.33333333333333,22.6666666666667,-16,-41.8333333333333,-12,0.5,6.83333333333334,-41.3333333333333,29.3333333333333,33,-44,-38.5,21.6666666666667,-12.6666666666667,-17.1666666666667,22,17.5,24.5,33.3333333333333,33.6666666666667,32
"58","Metz","Strasbourg","Ligue 1","Ligue 1","Eiji Kawashima",-38.3333333333333,-74.6666666666667,15,-16,-59,-26,-76,-61.3333333333333,35.3333333333333,26,-49.3333333333333,-56.6666666666667,43.3333333333333,-40.3333333333333,-50.3333333333333,-33,-32.3333333333333,-46.6666666666667,-24.6666666666667,-29.3333333333333,-44.6666666666667,-10,53,-59.6666666666667,-54.6666666666667,-48.6666666666667
"59","Getafe","Arsenal","La Liga","Premier League","Emiliano Martínez",6,3,0,0,11,0,9,-26,39,53,-9,-4,-40,12,22,-70,-70,3,-61,-63,8,11,2,4,-8,30
"60","Arsenal","Aston Villa","Premier League","Premier League","Emiliano Martínez",53.6666666666667,46.6666666666667,38,30,17.6666666666667,36.6666666666667,41.6666666666667,-7.66666666666667,-23,-29,50,46.3333333333333,37,49.3333333333333,41,23.3333333333333,19,43,3.33333333333334,2,47.6666666666667,50,15,56.3333333333333,44.3333333333333,27.6666666666667
"61","Sampdoria","SPAL","Serie A","Serie A","Emiliano Viviano",-14,-27,21,-24,-30,-38,-25,-34,-13,-10,-17,-19,11,-12,-13,-4,-6,-16,-14,-20,-23,-20,-12,-19,-12,-11
"62","Atalanta","SPAL","Serie A","Serie A","Etrit Berisha",0.5,21,46,-4.5,-15,16,30,-17,58.5,38.5,8,9,-11,9.5,5,19.5,9,12,-32,-26.5,13.5,-1.5,-19,-2,-9.5,0
