"","Squad_1","Squad_2","Comp_1","Comp_2","Player","MP_Playing","Starts_Playing","Min_Playing","Mins_Per_90","GA","GA90","SoTA","Saves","Save_percent","W","D","L","CS","CS_percent","PKatt_Penalty","PKA_Penalty","PKsv_Penalty","PKm_Penalty","Save_percent_Penalty"
"1","Bournemouth","Sheffield Utd","Premier League","Premier League","Aaron Ramsdale",8,8,8,8,1,-3,3,4,8,-11,-44,1,0,-1,-19,-20,-32,17,-8
"2","Sheffield Utd","Arsenal","Premier League","Premier League","Aaron Ramsdale",-12,-12,-12,-12,-30,-45.5,-31,-29,7.5,49,22.5,-48.5,43,64.5,15,10,0,1,0
"3","Toulouse","Fiorentina","Ligue 1","Serie A","Alban Lafont",-16.5,-16.5,-21.5,-22,-13,-9.5,-21,-20,-2,-9.5,8,-22,-16.5,-19,-6.5,-9.5,16,0,7
"4","Fiorentina","Nantes","Serie A","Ligue 1","Alban Lafont",8.5,8.5,12.75,13.75,11,13.25,13.25,10.5,1,12,-19,15.25,1,3.25,9,0.25,-2.25,8.5,8.25
"5","Pescara","Udinese","Serie A","Serie A","Albano Bizzarri",8,9,8,9,-12,-26,-15,-9,5,54,-18,-7,43,42,0,-37,42,17,41
"6","Sporting Gijón","Rayo Vallecano","La Liga","La Liga","Alberto García",20,20,20,20,36,-2,23,15,-19,6,24,41,31,37,14,0,3,0,0
"7","SPAL","Napoli","Serie A","Serie A","Alex Meret",19,18.25,19,19,14,-5.25,7.25,4.5,-33.5,52.5,-24.5,1.5,18.5,-3.75,-28,-12.75,-26,0,-19.75
"8","Schalke 04","Monaco","Bundesliga","Ligue 1","Alexander Nübel",53,53,54.5,54.5,23.5,-28.5,36.5,41,34,51,8,6.5,35.5,18,21.5,20,-16,8.5,-10
"9","Freiburg","Hertha BSC","Bundesliga","Bundesliga","Alexander Schwolow",-16.5,-16.5,-16,-16,-8.25,5.75,-23.25,-27.25,-15.75,-14.5,-7.25,-5.25,-0.5,12,4.75,8.75,-10.5,-4.25,-7.25
"10","Hertha BSC","Schalke 04","Bundesliga","Bundesliga","Alexander Schwolow",-5,-6,-5,-5,19.5,22,16,8,-18.5,-12.5,-28.5,11.5,-28.5,-33,-15,-10,0,0,0
"11","Strasbourg","Metz","Ligue 1","Ligue 1","Alexandre Oukidja",22.6666666666667,24.6666666666667,22,23.3333333333333,12.6666666666667,-35.3333333333333,24.6666666666667,30.6666666666667,43.6666666666667,22.3333333333333,32.6666666666667,15.6666666666667,31,27.3333333333333,-9,-1.66666666666667,-21.3333333333333,0,-12.6666666666667
