"","Squad_1","Squad_2","Comp_1","Comp_2","Player","Mins_Per_90","CrdY","CrdR","X2CrdY","Fls","Fld","Off","Crs","Int","TklW","PKwon","PKcon","OG","Recov","Won_Aerial","Lost_Aerial","Won_percent_Aerial"
"1","Bologna","Brentford","Serie A","Premier League","Aaron Hickey",7,13,-5.5,0,-3,10,-0.5,5.5,-6,17,0,14,0,10,8,12.5,-14.5
"2","Everton","Burnley","Premier League","Premier League","Aaron Lennon",9,34,0,0,3.75,14.25,13.75,13.25,-5,9,-12,7,0,15.75,-6.25,14.25,-27.25
"3","Toulouse","Metz","Ligue 1","Ligue 1","Aaron Leya Iseka",-2.5,22,-5.5,0,8,0,-10,0,-8,10,-5,0,0,1,2.5,2.5,2
"4","Huddersfield","Brighton","Premier League","Premier League","Aaron Mooy",-14,-10,11,6,-27,-8,-22.5,-3,0.5,-17.5,0,0,0,-16,-9.5,-8.5,-5.5
"5","Bournemouth","Sheffield Utd","Premier League","Premier League","Aaron Ramsdale",1,18,0,0,6,3,0,-7,14,-10,0,14,0,7,-6,-3,1
"6","Sheffield Utd","Arsenal","Premier League","Premier League","Aaron Ramsdale",-2,0,0,0,-6,-1.5,0,0,-14,0,0,-14,0,8,-6,-8.5,5.5
"7","Arsenal","Juventus","Premier League","Serie A","Aaron Ramsey",-15.5,32,0,0,-7.5,-11.5,11.5,4,-14,-14.5,-1,0,0,-22,-4.5,-16.5,21.5
"8","Juventus","Nice","Serie A","Ligue 1","Aaron Ramsey",15.5,12,0,0,5,0,3,20,17,19.5,5,0,0,24.5,-11,4.5,-31.5
"9","Crystal Palace","Manchester Utd","Premier League","Premier League","Aaron Wan-Bissaka",15,9,-5.5,0,17,6.5,0,3.75,8.25,7.5,0,0,0,14.25,3.25,17.25,-19.25
"10","Espanyol","Celta Vigo","La Liga","La Liga","Aarón Martín",-33,-48,0,0,-6,-10,33,-13,-37,-19,0,0,0,-30,-5,-28,23
"11","Celta Vigo","Mainz 05","La Liga","Bundesliga","Aarón Martín",6,20,0,0,-8.8,-7.2,-13.8,7.40000000000001,8,-4,2,0,0,8.8,-17,-7.4,-7.6
"12","Huddersfield","Paderborn 07","Premier League","Bundesliga","Abdelhamid Sabiri",34,57,0,0,61,58,-9,14.5,27,41,0,0,0,44,41.5,34.5,29.5
"13","Paderborn 07","Sampdoria","Bundesliga","Serie A","Abdelhamid Sabiri",-2.5,-13.5,0,0,-4.5,10,9,36.5,-12,-10,0,0,0,-11.5,2,8.5,-6.5
"14","Barcelona","Osasuna","La Liga","La Liga","Abdessamad Ezzalzouli",26,0,12,6,19,28,-9,28,-15,22,0,0,0,24,0,23,-12
"15","Mainz 05","Dortmund","Bundesliga","Bundesliga","Abdou Diallo",-1,-43,11,0,-33,8,-22,0,-17,-25,0,-14,0,13,-8,1,-17
"16","Dortmund","Paris S-G","Bundesliga","Ligue 1","Abdou Diallo",-33.6666666666667,20.6666666666667,-7,2,-7.66666666666666,-16.6666666666667,-12,-15.3333333333333,-17.6666666666667,-17.6666666666667,0,4.66666666666667,0,-27.6666666666667,-27,-47.3333333333333,16.3333333333333
"17","Paris S-G","RB Leipzig","Ligue 1","Bundesliga","Abdou Diallo",-23.3333333333333,-6.66666666666666,-4,-2,-37.3333333333333,-16.3333333333333,12,-28.6666666666667,-13.3333333333333,-21.3333333333333,0,9.33333333333333,0,-21.3333333333333,-11,3.33333333333334,-22.3333333333333
"18","Watford","Everton","Premier League","Premier League","Abdoulaye Doucouré",-22,-7,3.66666666666667,0,-17.6666666666667,-16.6666666666667,-11,-13.6666666666667,-12.3333333333333,-7,0,-4.66666666666666,-3.33333333333333,-12.6666666666667,-15,-17.3333333333333,-0.666666666666671
"19","Nantes","Genoa","Ligue 1","Serie A","Abdoulaye Touré",-57,-25.5,-2.75,0,-59,-48.25,-4.5,-24,-51.75,-48,-5,-7.75,0,-61,-55.25,-56,3
"20","Nantes","Strasbourg","Ligue 1","Ligue 1","Abdul Majeed Waris",-55.6666666666667,-32,0,0,-25.6666666666667,-34.3333333333333,-27,-29,-19.6666666666667,-33,-13,0,0,-49.6666666666667,-35,-54,0.333333333333334
"21","Fulham","Dijon","Premier League","Ligue 1","Aboubakar Kamara",2,-7,5.5,0,-5,38,-4,-7,-8,-9.5,-5,-7,0,-9.5,8,20,-20.5
"22","Real Madrid","Dortmund","La Liga","Bundesliga","Achraf Hakimi",43.5,57.5,0,0,26,56.5,-4.5,14,30.5,19.5,0,0,0,44.5,14,21.5,-8
"23","Dortmund","Inter","Bundesliga","Serie A","Achraf Hakimi",11.5,8.5,0,0,22,-3.5,30.5,8,-9.5,6.5,12,0,0,-11.5,2,13.5,-12
"24","Inter","Paris S-G","Serie A","Ligue 1","Achraf Hakimi",-11,-9,11.5,3,-12.5,-27.5,-4.5,-14,-0.5,4.5,-12,0,0,0,-20.5,-27.5,4.5
"25","Liverpool","Brighton","Premier League","Premier League","Adam Lallana",28.6666666666667,0,0,0,13.6666666666667,16.6666666666667,-1,-2.33333333333334,18.6666666666667,15,0,4.66666666666667,0,34.3333333333333,17.6666666666667,7,21.3333333333333
"26","Bologna","Watford","Serie A","Premier League","Adam Masina",-41.3333333333333,-37,-11,0,-37,-31.6666666666667,-25,-2.66666666666667,-23.6666666666667,-31,0,-7.66666666666667,0,-33,-21,-29,-8
"27","Watford","Udinese","Premier League","Serie A","Adam Masina",-15.6666666666667,-3,0,0,-18,-28.3333333333333,-15,-24.3333333333333,-19.3333333333333,-26,0,4.66666666666667,0,-16,-7,-20,8
"28","Nice","Cagliari","Ligue 1","Serie A","Adam Ounas",-27,-32,-11,0,-11,-38,18,-30,-23,-12,-10,0,0,-22,5,-24,34
"29","Cagliari","Crotone","Serie A","Serie A","Adam Ounas",30,18,0,0,22,40,28,25,0,9,0,0,0,31,20,24,-8
"30","Crotone","Napoli","Serie A","Serie A","Adam Ounas",-32.3333333333333,-12,0,0,-19.6666666666667,-50,-46,-30.6666666666667,-7,-14.3333333333333,0,0,0,-32.3333333333333,-25.3333333333333,-27.3333333333333,14
"31","Napoli","Lille","Serie A","Ligue 1","Adam Ounas",25.3333333333333,12,0,0,26.6666666666667,48,27,40.6666666666667,20,33.3333333333333,10,0,0,28.3333333333333,12.3333333333333,17.3333333333333,-22
"32","Monaco","Huddersfield","Ligue 1","Premier League","Adama Diakhaby",-9,-14,-11,0,-20,-13,-20,-6,-38,-36,0,0,0,-11,-23,-21,-10
"33","Lille","Genoa","Ligue 1","Serie A","Adama Soumaoro",-5.75,3,-2.75,-1.5,-14,-29,11.25,0,4.75,-6.75,0,0,0,-10,9.25,-3,2.25
"34","Genoa","Bologna","Serie A","Serie A","Adama Soumaoro",39.6666666666667,28.3333333333333,7.66666666666667,2,50.6666666666667,52.6666666666667,-12,4.33333333333333,18.6666666666667,31.6666666666667,0,10.6666666666667,1.66666666666667,36.6666666666667,20,19.6666666666667,-0.666666666666671
"35","Monaco","Metz","Ligue 1","Ligue 1","Adama Traoré",31.3333333333333,12,0,0,20,63.6666666666667,0,51.6666666666667,3.66666666666667,-2.66666666666667,0,0,0,36,18.3333333333333,39.3333333333333,-63
"36","Metz","Wolves","Ligue 1","Premier League","Adama Traoré",20.4,6.4,0,0,37,2.8,43.6,8,9,36,2,0,0,10.6,35,22,27.6
"37","Wolves","Barcelona","Premier League","La Liga","Adama Traoré",-41.4,-24.4,0,0,-37,-50.8,-16.6,-10,-5,-31,-2,0,0,-34.6,-48,-60,37.4
"38","Everton","RB Leipzig","Premier League","Bundesliga","Ademola Lookman",2.5,9,0,0,9,-5,-4.5,11,-9,2,0,7,0,1,-14,1.5,-38
"39","RB Leipzig","Fulham","Bundesliga","Premier League","Ademola Lookman",67,52,0,0,55,54.5,40,39,47,22,0,-7,0,63,27.5,39.5,5.5
"40","Fulham","Leicester City","Premier League","Premier League","Ademola Lookman",-35,-29,0,0,-18,-11,-7,-32,-18,7,0,0,0,-20,-14,-22,-2
"41","Leicester City","Atalanta","Premier League","Serie A","Ademola Lookman",8,12,0,0,-7,2,6,14,-17,-29,10,0,0,-8,0,5,-2
"42","Saint-Étienne","Lorient","Ligue 1","Ligue 1","Adil Aouchiche",-37.5,-32,0,0,-28,-38,-13.5,-29,-24,-33,0,0,0,-46,-43.5,-42.5,-19.5
"43","Marseille","Troyes","Ligue 1","Ligue 1","Adil Rami",-21,-21.5,0,0,-37.5,-16.5,-13.5,3,-9.5,-13,0,-2,-2.5,-20,-26.5,-27,-8
"44","Leverkusen","Wolfsburg","Bundesliga","Bundesliga","Admir Mehmedi",9,-39.5,0,0,-6.25,-6.5,26.25,-5.25,-20,-21.5,0,-14,0,6.75,-3,18.5,-27
"45","Benevento","Hellas Verona","Serie A","Serie A","Adolfo Gaich",-2,14,0,0,-17,-14,4,-7,5,-4,10,-14,5,-3,16,7,7
"46","Rayo Vallecano","Espanyol","La Liga","La Liga","Adri Embarba",-36.3333333333333,-25,-11,-6,-38,-25.6666666666667,-25.3333333333333,-23.6666666666667,-33.6666666666667,-24.3333333333333,-10,-14,0,-32,-27.6666666666667,-31.3333333333333,-5
"47","Espanyol","Almería","La Liga","La Liga","Adri Embarba",10.3333333333333,25,11,6,8,19.6666666666667,26.3333333333333,20.6666666666667,-1.33333333333334,23.3333333333333,0,0,0,18,-0.333333333333336,16.3333333333333,-5
"48","Rennes","Angers","Ligue 1","Ligue 1","Adrien Hunou",32,10.5,0,0,-1.5,22.75,0.75,18.25,7.5,23,7,14,0,32.75,16.5,11,9.25
"49","Paris S-G","Juventus","Ligue 1","Serie A","Adrien Rabiot",16.5,30.75,5.5,3,15.25,24.25,16,13.5,12.75,9.5,0,7.75,-2.5,3.5,10.25,19.5,-6
"50","Leicester City","Monaco","Premier League","Ligue 1","Adrien Silva",26.5,46,0,0,45,38.5,0,27,20,42,0,0,0,41,29,13,35
"51","Monaco","Sampdoria","Ligue 1","Serie A","Adrien Silva",4.5,-10,11,3,0,0.5,0,-7,19,-16,0,8.5,0,5.5,0,-5.5,10.5
"52","Nice","Atalanta","Ligue 1","Serie A","Adrien Tameze",-46.6666666666667,-44,0,0,-43.6666666666667,-49,0,-14.6666666666667,-46.3333333333333,-43,0,-4.66666666666667,0,-42.6666666666667,-31,-40.6666666666667,38.3333333333333
"53","Atalanta","Hellas Verona","Serie A","Serie A","Adrien Tameze",72.3333333333333,54.6666666666667,0,0,58.6666666666667,65.3333333333333,24,42.3333333333333,58.3333333333333,56.6666666666667,0,4.66666666666667,0,73.3333333333333,61,68.6666666666667,-23.6666666666667
"54","Nantes","Strasbourg","Ligue 1","Ligue 1","Adrien Thomasson",-13.2,-3.8,6.59999999999999,2.40000000000001,-0.799999999999997,2.2,-1.40000000000001,-6.8,-6.4,-26.2,-8,2.8,0,-13.6,3.2,-5.2,11.2
"55","Strasbourg","Lens","Ligue 1","Ligue 1","Adrien Thomasson",-25.8,-32.2,-6.59999999999999,-2.40000000000001,-14.2,-22.2,-3.59999999999999,-19.2,-25.6,-4.8,8,-2.8,0,-27.4,-6.2,-20.8,9.8
"56","West Ham","Liverpool","Premier League","Premier League","Adrián",-36,-23,0,0,-6,-13,0,0,0,-3,0,0,0,-16.5,2,-7,15
"57","Alavés","Huesca","La Liga","La Liga","Adrián Diéguez",10,-17,0,0,-20,30,0,-7,2,16,0,0,0,4,37,20,39
"58","La Coruña","Osasuna","La Liga","La Liga","Adrián López",-40.5,-18,0,0,-24,-50.5,-9.5,-20.5,-28.5,-29.5,0,0,0,-45.5,-23.5,-12.5,-22.5
"59","Villarreal","Alavés","La Liga","La Liga","Adrián Marín",6,-1.33333333333334,0,0,16,12,0,9,11.6666666666667,10.3333333333333,0,4.66666666666667,0,8.33333333333333,13,7,-3.66666666666667
"60","Alavés","Granada","La Liga","La Liga","Adrián Marín",-4,1.33333333333334,0,0,-25,-1,0,3,-7.66666666666666,-19.3333333333333,0,-4.66666666666667,0,-2.33333333333333,-4,-3,3.66666666666667
"61","Torino","Empoli","Serie A","Serie A","Afriyie Acquah",17,0,-12,-6,19,28,18,19,-8,10,0,0,0,10,18,19,5
"62","Toulouse","Hertha BSC","Ligue 1","Bundesliga","Agustín Rogel",17,70,0,0,39,11,18,0,0,3,0,0,0,21,18,27,0
"63","Arsenal","West Brom","Premier League","Premier League","Ainsley Maitland-Niles",14,8.8,-4.40000000000001,-2.40000000000001,3.8,20,-9,2,5.8,-8.6,8,-2.8,0,12.8,-4.8,22.8,-36
"64","West Brom","Roma","Premier League","Serie A","Ainsley Maitland-Niles",-24,-32,0,0,-10,-43,18,13,-25,-13,-10,0,0,-20,10,-44,84
"65","Roma","Southampton","Serie A","Premier League","Ainsley Maitland-Niles",29,44,0,0,18,27,-18,-4,32,42,10,14,0,25,17,27,-23
"66","Levante","Osasuna","La Liga","La Liga","Aitor Fernández",-6.75,5.5,-2.75,0,-3,-15.5,0,0,5,3,0,-3.5,0,-5,-2,3.5,-5.25
