"","Player","Squad","Comp","Season_End_Year","Mins_Per_90","Cmp_Total","Att_Total","Cmp_percent_Total","TotDist_Total","PrgDist_Total","Cmp_Short","Att_Short","Cmp_percent_Short","Cmp_Medium","Att_Medium","Cmp_percent_Medium","Cmp_Long","Att_Long","Cmp_percent_Long","Ast","xA","KP","Final_Third","PPA","CrsPA"
"1","Aaron Hickey","Bologna","Serie A",2021.5,63,65,63.5,72,61,61.5,69.5,68,73.5,66.5,66.5,50,50.5,49,53.5,61,55,58.5,55.5,64.5,74.5
"2","Aaron Lennon","Everton","Premier League",2018,35,26,27,24,24,26,34,35,18,26,26,27,15,18,10,51,48,45,29,40,67
"3","Aaron Leya Iseka","Toulouse","Ligue 1",2019.5,45.5,29,27.5,54,24.5,17,38,38,31.5,25.5,25.5,29.5,18,15.5,65,51,45,52,32,42,43
"4","Aaron Mooy","Huddersfield","Premier League",2018.5,88,91,93.5,41,87.5,83.5,95.5,96,52,84.5,86,40.5,85.5,90.5,30.5,80,86.5,95,97,88.5,90
"5","Aaron Ramsdale","Bournemouth","Premier League",2020,99,66,79,3,86,98,39,35,92,67,61,93,94,99,7,71,29,31,45,18,43
"6","Aaron Ramsdale","Sheffield Utd","Premier League",2021,100,61,80,1,90,99,25,23,90,50,45,93,98,100,8,51,35,31,72,18,43
"7","Aaron Ramsey","Arsenal","Premier League",2018.5,59.5,76.5,74,74,71.5,63,82.5,82,53.5,74,73,60.5,68.5,61,83,98,89,86,81.5,87,76
"8","Aaron Ramsey","Juventus","Serie A",2021,32.6666666666667,48.6666666666667,44.3333333333333,87.6666666666667,44.6666666666667,37.3333333333333,56,55,65.3333333333333,46,43.6666666666667,72.6666666666667,43,37.6666666666667,81.6666666666667,71.6666666666667,64.6666666666667,65.3333333333333,57.3333333333333,50.6666666666667,59.6666666666667
"9","Aaron Wan-Bissaka","Crystal Palace","Premier League",2018.5,63.5,60,62,30.5,53.5,66.5,67.5,67.5,49,55,58.5,18,40,50.5,7,70,59,53,64,66,83
"10","Aarón Martín","Espanyol","La Liga",2018,92,85,88,35,78,81,93,94,45,80,83,35,69,81,10,51,94,92,79,93,99
"11","Aarón Martín","Celta Vigo","La Liga",2021,58,69,67,61,65,65,77,75,76,68,69,45,57,61,27,89,67,53,56,62,78
"12","Abdelhamid Sabiri","Huddersfield","Premier League",2018,15,15,16,23,14,11,16,17,21,17,19,10,15,14,44,71,40,37,32,28,58
"13","Abdelhamid Sabiri","Paderborn 07","Bundesliga",2020,44,46,44,58,49,47,48,47,47,43,41,56,61,56,68,71,44,53,64,40,43
"14","Abdessamad Ezzalzouli","Barcelona","La Liga",2022,28,25,25,31,20,14,37,36,43,14,16,5,18,19,22,51,52,45,13,40,58
"15","Abdou Diallo","Mainz 05","Bundesliga",2018,82,80,82,41,83,90,69,71,29,84,85,56,86,89,42,71,58,49,85,82,87
"16","Abdou Diallo","Dortmund","Bundesliga",2019,81,98,97,91,98,95,95,95,79,98,98,83,94,92,83,71,55,63,95,69,85
"17","Abdou Diallo","Paris S-G","Ligue 1",2021,47.6666666666667,78.6666666666667,72.3333333333333,97,76.6666666666667,79.3333333333333,77.3333333333333,74,86.3333333333333,81.6666666666667,78.6666666666667,86.6666666666667,73.6666666666667,65,88.6666666666667,71,43,34,76.3333333333333,53.3333333333333,66.3333333333333
"18","Abdoulaye Doucouré","Watford","Premier League",2019,97.3333333333333,96,96.3333333333333,68.3333333333333,92.6666666666667,81,97.6666666666667,98,42.6666666666667,93.3333333333333,94.3333333333333,58,85.6666666666667,81.6666666666667,78.6666666666667,89.3333333333333,86.6666666666667,92,95.6666666666667,92.6666666666667,73
"19","Abdoulaye Touré","Nantes","Ligue 1",2019.5,80.25,84.25,83.25,68.75,81.5,71.5,84.75,85.5,40.5,84.25,84.75,56.25,78.75,74.25,75,68.75,65.5,76.25,93.25,68.5,66.5
"20","Abdul Majeed Waris","Nantes","Ligue 1",2019,78,53,55,24,48,44,67,70,15,48,50,19,41,46,20,89,83,81,50,76,74
"21","Aboubakar Kamara","Fulham","Premier League",2020,25.5,24,24.5,24.5,22,21,29,30,18.5,24,23,43.5,22,27,8.5,51,49.5,55,24,39.5,58
"22","Achraf Hakimi","Real Madrid","La Liga",2018,34,50,47,74,45,49,66,64,63,46,43,64,29,34,13,51,40,45,48,62,82
"23","Achraf Hakimi","Dortmund","Bundesliga",2019.5,76.5,96,95.5,81,90.5,90.5,99,99,73.5,90,90,64.5,75.5,73,65.5,96,83,76.5,90.5,92,93.5
"24","Achraf Hakimi","Inter","Serie A",2021,88,92,92,71,83,83,98,98,58,84,84,57,71,68,64,99,98,92,76,98,99
"25","Adam Lallana","Liverpool","Premier League",2019,22,34,31,79.6666666666667,29.3333333333333,29,45.3333333333333,43.3333333333333,69.6666666666667,29.3333333333333,27.6666666666667,57.3333333333333,19,19.3333333333333,37.3333333333333,57.6666666666667,49,52,43.6666666666667,55.6666666666667,48
"26","Adam Masina","Bologna","Serie A",2018,92,92,94,46,87,93,95,96,34,90,93,34,76,80,36,71,77,84,93,88,91
"27","Adam Masina","Watford","Premier League",2020.33333333333,51.3333333333333,54,57.3333333333333,27.6666666666667,56,68,53,52.3333333333333,47.3333333333333,57.6666666666667,60.6666666666667,28.3333333333333,60.6666666666667,68,18.3333333333333,64.3333333333333,53,53.3333333333333,62,59,81
"28","Adam Ounas","Nice","Ligue 1",2020,46,47,47,42,50,45,48,49,30,48,49,31,60,57,63,93,82,80,49,88,89
"29","Adam Ounas","Napoli","Serie A",2020.5,14.5,19,18.25,52.25,20.5,19.5,21,20.75,34.75,20.75,20,35.5,26.25,21.5,80.75,51,50.25,50.25,25,52.75,56.75
"30","Adam Ounas","Cagliari","Serie A",2021,19,18,19,17,19,22,18,18,37,18,20,10,26,25,46,51,60,49,27,60,67
"31","Adam Ounas","Crotone","Serie A",2021,48,48,47,55,52,46,47,47,36,51,50,57,62,59,66,93,91,81,60,90,78
"32","Adama Diakhaby","Monaco","Ligue 1",2018,37,25,27,11,22,18,32,34,10,22,25,6,22,23,24,89,58,53,29,45,67
"33","Adama Soumaoro","Lille","Ligue 1",2019.5,36.5,50.25,44.25,98.5,54,52,37,35.25,80.5,61.75,57.5,90.75,54.75,45,92.75,56,28,21.25,28,20.5,43
"34","Adama Soumaoro","Genoa","Serie A",2020,31,41,35,99,47,36,30,29,82,45,41,84,67,53,97,51,20,15,19,18,43
"35","Adama Traoré","Monaco","Ligue 1",2019,10.6666666666667,12.3333333333333,11,69,12,10,13.6666666666667,13.3333333333333,70.6666666666667,13,12.6666666666667,52.3333333333333,14.3333333333333,12,63.3333333333333,57.6666666666667,25,29.3333333333333,17.6666666666667,28.6666666666667,43
"36","Adama Traoré","Metz","Ligue 1",2020,43,49,47,64,49,49,55,55,40,47,46,50,56,52,64,93,93,91,64,73,58
"37","Adama Traoré","Wolves","Premier League",2021,63,48.2,51.6,19.4,45.4,41.8,57.6,61.2,12.6,44.6,48.8,13.6,45.4,44.8,50.8,74.8,86.8,85.8,50.6,84.4,94.4
"38","Ademola Lookman","Everton","Premier League",2018.5,21,22,20.5,58.5,19.5,20.5,28,27.5,53.5,21,19.5,57.5,15.5,16,46,66.5,59.5,43.5,27,39,62.5
"39","Ademola Lookman","RB Leipzig","Bundesliga",2019,23.5,25.5,25.5,40.5,22.5,25.5,32.5,32,50,23.5,24,23.5,19,22,14.5,70,69,64,31,59.5,55
"40","Ademola Lookman","Fulham","Premier League",2021,90,79,81,40,73,69,85,86,38,76,78,45,68,74,26,93,96,98,68,96,82
"41","Ademola Lookman","Leicester City","Premier League",2022,56,51,50,51,43,41,68,67,49,43,44,31,29,31,26,51,78,81,48,84,78
"42","Adil Aouchiche","Paris S-G","Ligue 1",2020,5,7,6,49,6,4,10,10,51,7,6,68,8,8,33,51,20,15,10,18,43
"43","Adil Aouchiche","Saint-Étienne","Ligue 1",2021.5,54.5,59,60.5,35,59.5,57.5,67.5,67.5,39,50.5,51,32.5,69,72,39.5,94,85,87.5,69.5,75.5,83.5
"44","Adil Rami","Marseille","Ligue 1",2018.5,74.5,83,81,78,86,85.5,74.5,73.5,57,86.5,85.5,73,89,86,78.5,76.5,51,45,75,42,43
"45","Admir Mehmedi","Leverkusen","Bundesliga",2018,33,43,42,45,41,49,51,52,34,43,43,28,35,37,33,89,69,80,46,76,87
"46","Adnan Januzaj","Real Sociedad","La Liga",2020,52,49,52.2,18.8,50.8,54.6,55.2,55.4,39,45.2,46.4,27.8,60.2,67.4,20.2,83.8,88,86.6,59.2,91,89.4
"47","Adolfo Gaich","Benevento","Serie A",2021,35,19,20,9,16,13,22,26,3,16,18,9,21,16,93,51,40,45,13,45,58
"48","Adri Embarba","Rayo Vallecano","La Liga",2019,79,57,66,5,59,62,62,66,14,54,59,11,69,81,10,97,98,98,59,86,97
