"","Squad_1","Squad_2","Comp_1","Comp_2","Player","Mins_Per_90","Touches_Touches","Def.Pen_Touches","Def.3rd_Touches","Mid.3rd_Touches","Att.3rd_Touches","Att.Pen_Touches","Live_Touches","Att_Take","Succ_Take","Succ_percent_Take","Tkld_Take","Tkld_percent_Take","Carries_Carries","TotDist_Carries","PrgDist_Carries","PrgC_Carries","Final_Third_Carries","CPA_Carries","Mis_Carries","Dis_Carries","Rec_Receiving","PrgR_Receiving"
"1","Bologna","Brentford","Serie A","Premier League","Aaron Hickey",6.5,2.5,0.5,4.5,7,-5.5,9,2.5,14,5.5,-25.5,8.5,-14,8,5.5,11.5,5.5,-14.5,-12.5,-18,-4.5,4.5,-10
"2","Everton","Burnley","Premier League","Premier League","Aaron Lennon",10,4.75,19.25,2.5,4.75,6,8.75,4.75,-1.5,9.75,19,-10.75,-15,6.5,7.25,3.25,8.5,0.25,-3,4.25,4,4.5,8.5
"3","Toulouse","Metz","Ligue 1","Ligue 1","Aaron Leya Iseka",-3,-3,-1.5,0,-1,-6.5,-7.5,-2.5,2,9.5,21,-4,-19,-3,-1,-0.5,0,3,1,2.5,-8,-2.5,-8.5
"4","Huddersfield","Brighton","Premier League","Premier League","Aaron Mooy",-15.5,-15.5,2,-12.5,-18.5,-3,7,-15.5,17,17.5,12.5,11.5,-13.5,-12.5,-6,-1.5,4.5,-3.5,18,6.5,-2.5,-11.5,12.5
"5","Sheffield Utd","Arsenal","Premier League","Premier League","Aaron Ramsdale",-1.5,-1.5,-1,-0.5,2.5,-1,-8,-1.5,-6,-7,0,0,0,7.5,-4.5,-2,0,3,0,-6,0,17,0
"6","Arsenal","Juventus","Premier League","Serie A","Aaron Ramsey",-16.5,-15,6.5,-7,-16,-9,-7,-15,-14.5,-12,10.5,-13.5,-11,-17.5,-25,-27,-18,-21,-3.5,-11.5,-26.5,-14.5,-13.5
"7","Juventus","Nice","Serie A","Ligue 1","Aaron Ramsey",16.5,18.5,22.5,17,23,1.5,-3,18.5,9,4,-20.5,-0.5,-11.5,28,30,22.5,-0.5,12,0,-7.5,27,12,-1.5
"8","Crystal Palace","Manchester Utd","Premier League","Premier League","Aaron Wan-Bissaka",15.25,21.5,3,11,22,21.75,35.5,21.5,13.5,6.5,-30,25.25,31.5,28.25,22.75,18,11,4.25,13.75,6.75,5.5,31.25,22.5
"9","Espanyol","Celta Vigo","La Liga","La Liga","Aarón Martín",-35,-25,-8,-13,-21,-21,1,-25,-21,-18,1,-20,0,-21,-30,-33,-20,-22,16,-17,-38,-17,-8
"10","Celta Vigo","Mainz 05","La Liga","Bundesliga","Aarón Martín",6.2,2.40000000000001,-7.8,-6.59999999999999,-0.399999999999999,7.8,-4.6,2.40000000000001,0,-4.2,-10,1,5.2,0.799999999999997,9.2,6.4,-3.2,-6.8,-1.4,3.6,15.2,-3.2,-5.2
"11","Huddersfield","Paderborn 07","Premier League","Bundesliga","Abdelhamid Sabiri",29,28,47,41,33,21,24,28,56,67,53,38,-50,35,34,30,33,22,15,45,69,31,10
"12","Paderborn 07","Sampdoria","Bundesliga","Serie A","Abdelhamid Sabiri",-3,-2,-32,-19.5,-6.5,14.5,17,-2.5,-4.5,-13,-29.5,0,12,-4.5,-6.5,-8,-11,14.5,24,6,-6,-3,20
"13","Barcelona","Osasuna","La Liga","La Liga","Abdessamad Ezzalzouli",28,27,9,10,25,28,2,27,9,7,-20,8,-11,29,32,26,13,28,4,30,33,32,15
"14","Mainz 05","Dortmund","Bundesliga","Bundesliga","Abdou Diallo",-1,14,6,3,17,11,-11,14,3,5,13,-5,-15,19,14,9,13,9,-16,27,9,24,22
