"","Player","Squad","Comp","Season_End_Year","Mins_Per_90","CrdY","CrdR","X2CrdY","Fls","Fld","Off","Crs","Int","TklW","PKwon","PKcon","OG","Recov","Won_Aerial","Lost_Aerial","Won_percent_Aerial"
"1","Aaron Hickey","Bologna","Serie A",2021.5,62,80,93.5,94,67,78,64.5,66.5,73,66,87,82,95,64,46,49.5,46.5
"2","Aaron Lennon","Everton","Premier League",2018,35,23,88,94,43,41,46,55,55,51,99,82,95,28,29,30,38
"3","Aaron Leya Iseka","Toulouse","Ligue 1",2019.5,44.5,55,93.5,94,67,52,89,32,21,22,92,82,95,24,71.5,82.5,35
"4","Aaron Mooy","Huddersfield","Premier League",2018.5,88,77,88,94,75,57,68.5,98,75.5,97.5,87,82,95,98,65.5,75.5,35.5
"5","Aaron Ramsdale","Bournemouth","Premier League",2020,99,23,88,94,8,28,46,26,13,28,87,82,95,21,45,23,89
"6","Aaron Ramsdale","Sheffield Utd","Premier League",2021,100,41,88,94,14,31,46,19,27,18,87,96,95,28,39,20,90
"7","Aaron Ramsey","Arsenal","Premier League",2018.5,59,23,88,94,72.5,77.5,64.5,63,64,77,93,82,95,72.5,48.5,54,34
"8","Aaron Ramsey","Juventus","Serie A",2020.5,43.5,55,88,94,65,66,76,67,50,62.5,92,82,95,50.5,44,37.5,55.5
"9","Aaron Wan-Bissaka","Crystal Palace","Premier League",2018.5,63,59,93.5,94,44,43,59.5,76,81.5,86,87,89,95,66.5,63,55.5,60.5
"10","Aarón Martín","Espanyol","La Liga",2018,91,89,88,94,80,69,46,98,96,93,87,82,95,87,61,85,19
"11","Aarón Martín","Celta Vigo","La Liga",2021,58,41,88,94,74,59,79,85,59,74,87,82,95,57,56,57,42
"12","Abdelhamid Sabiri","Huddersfield","Premier League",2018.5,9,32,88,94,16,21,55,22.5,21,25,87,82,95,9,29.5,27.5,34.5
"13","Abdelhamid Sabiri","Paderborn 07","Bundesliga",2020,43,89,88,94,77,79,46,37,48,66,87,82,95,53,71,62,64
"14","Abdessamad Ezzalzouli","Barcelona","La Liga",2022,28,77,88,94,58,59,73,62,51,48,87,82,95,31,22,30,19
"15","Abdou Diallo","Mainz 05","Bundesliga",2018,82,84,88,94,99,44,86,70,96,99,87,96,95,74,95,83,83
"16","Abdou Diallo","Dortmund","Bundesliga",2019,81,41,99,94,66,52,64,70,79,74,87,82,95,87,87,84,66
"17","Abdou Diallo","Paris S-G","Ligue 1",2021,47.3333333333333,61.6666666666667,92,96,58.3333333333333,35.3333333333333,52,54.6666666666667,61.3333333333333,56.3333333333333,87,86.6666666666667,95,59.3333333333333,60,36.6666666666667,82.3333333333333
"18","Abdoulaye Doucouré","Watford","Premier League",2019,97.3333333333333,96,88,94,93.3333333333333,64,78,67,89.6666666666667,93.6666666666667,87,91.3333333333333,98.3333333333333,99.6666666666667,85.6666666666667,88.3333333333333,52.3333333333333
"19","Abdoulaye Touré","Nantes","Ligue 1",2019.5,80,66.5,90.75,94,80,92.25,50.5,61,87.75,80,92,89.75,95,90,84.25,79,64
"20","Abdul Majeed Waris","Nantes","Ligue 1",2019,78,67,88,94,58,99,94,80,45,59,100,82,95,73,52,80,15
"21","Aboubakar Kamara","Fulham","Premier League",2020,25,48,93.5,94,55,26,68,62,21,27.5,92,89,95,26.5,48,40,58.5
"22","Achraf Hakimi","Real Madrid","La Liga",2018,33,23,88,94,35,35,64,74,53,64,87,82,95,45,42,37,48
"23","Achraf Hakimi","Dortmund","Bundesliga",2019.5,76.5,80.5,88,94,61,91.5,59.5,88,83.5,83.5,87,82,95,89.5,56,58.5,40
"24","Achraf Hakimi","Inter","Serie A",2021,88,89,88,94,83,88,90,96,74,90,99,82,95,78,58,72,28
